# TRAINING ITERATION,         BCE_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,          0.64331,          0.22456,          0.99860
                   2,          0.40569,          0.11790,          0.99013
                   3,          0.28359,          0.07528,          0.97697
                   4,          0.23752,          0.06033,          0.99671
                   5,          0.23667,          0.06188,          1.00000
                   6,          0.24516,          0.06554,          1.00000
                   7,          0.24404,          0.06798,          0.97039
                   8,          0.19041,          0.05201,          0.98355
                   9,          0.17259,          0.04725,          0.98684
                  10,          0.16073,          0.04477,          0.95066
                  11,          0.14751,          0.04113,          0.99671
                  12,          0.17049,          0.04844,          0.99342
                  13,          0.15353,          0.04391,          1.00000
                  14,          0.15662,          0.04499,          1.00000
                  15,          0.15152,          0.04398,          0.99342
                  16,          0.14740,          0.04302,          1.00000
                  17,          0.14601,          0.04307,          1.00000
                  18,          0.12057,          0.03453,          1.00000
                  19,          0.11935,          0.03352,          0.96711
                  20,          0.10533,          0.02941,          0.92105
                  21,          0.11642,          0.03335,          1.00000
                  22,          0.11006,          0.03213,          1.00000
                  23,          0.11998,          0.03568,          1.00000
                  24,          0.11020,          0.03178,          1.00000
                  25,          0.10143,          0.02913,          0.97368
                  26,          0.09417,          0.02673,          0.99671
                  27,          0.08171,          0.02275,          0.98684
                  28,          0.08686,          0.02454,          1.00000
                  29,          0.08175,          0.02298,          0.98355
                  30,          0.08274,          0.02327,          0.96711
                  31,          0.07498,          0.02090,          0.99671
                  32,          0.09888,          0.02903,          0.98684
                  33,          0.08075,          0.02269,          0.99342
                  34,          0.07269,          0.02012,          1.00000
                  35,          0.06560,          0.01776,          0.99013
                  36,          0.06101,          0.01686,          0.98026
                  37,          0.06416,          0.01775,          0.95066
                  38,          0.05719,          0.01562,          0.99671
                  39,          0.05477,          0.01497,          0.98684
                  40,          0.05217,          0.01466,          0.98355
                  41,          0.05762,          0.01587,          1.00000
                  42,          0.05442,          0.01431,          1.00000
                  43,          0.06481,          0.01757,          1.00000
                  44,          0.04604,          0.01240,          1.00000
                  45,          0.05835,          0.01621,          0.99013
                  46,          0.05884,          0.01622,          0.98684
                  47,          0.05415,          0.01465,          0.99671
                  48,          0.05877,          0.01595,          0.99671
                  49,          0.04856,          0.01330,          0.99671
                  50,          0.04598,          0.01258,          0.97697
                  51,          0.05260,          0.01461,          0.98026
                  52,          0.05018,          0.01355,          1.00000
                  53,          0.05343,          0.01457,          0.97039
                  54,          0.05155,          0.01398,          1.00000
                  55,          0.05125,          0.01395,          1.00000
                  56,          0.04568,          0.01247,          0.99013
                  57,          0.04639,          0.01262,          0.99671
                  58,          0.05096,          0.01369,          0.93421
                  59,          0.04487,          0.01208,          1.00000
                  60,          0.04432,          0.01184,          1.00000
                  61,          0.04904,          0.01305,          0.99342
                  62,          0.03990,          0.01055,          0.95066
                  63,          0.04559,          0.01248,          0.94737
                  64,          0.04157,          0.01114,          0.97697
                  65,          0.04463,          0.01218,          0.97697
                  66,          0.04879,          0.01296,          1.00000
                  67,          0.04786,          0.01281,          1.00000
                  68,          0.04208,          0.01130,          1.00000
                  69,          0.03948,          0.01051,          1.00000
                  70,          0.05394,          0.01492,          0.97697
                  71,          0.03716,          0.00985,          0.97368
                  72,          0.04024,          0.01055,          1.00000
                  73,          0.04148,          0.01114,          1.00000
                  74,          0.04173,          0.01123,          0.98026
                  75,          0.04804,          0.01333,          0.98026
                  76,          0.03825,          0.01014,          1.00000
                  77,          0.03631,          0.00954,          0.94408
                  78,          0.04057,          0.01076,          0.94737
                  79,          0.04248,          0.01169,          1.00000
                  80,          0.04163,          0.01141,          1.00000
                  81,          0.04256,          0.01144,          1.00000
                  82,          0.03779,          0.01009,          0.99671
                  83,          0.03961,          0.01049,          1.00000
                  84,          0.03451,          0.00901,          0.99013
                  85,          0.03914,          0.01051,          0.99342
                  86,          0.04396,          0.01191,          0.99013
                  87,          0.04375,          0.01149,          0.99342
                  88,          0.03985,          0.01043,          1.00000
                  89,          0.04099,          0.01095,          1.00000
                  90,          0.04444,          0.01196,          1.00000
                  91,          0.04116,          0.01106,          1.00000
                  92,          0.03836,          0.01012,          0.99671
                  93,          0.04071,          0.01095,          0.97697
                  94,          0.04587,          0.01253,          1.00000
                  95,          0.03644,          0.00960,          0.95724
                  96,          0.04313,          0.01143,          0.99671
                  97,          0.03930,          0.01048,          1.00000
                  98,          0.04286,          0.01149,          0.99342
