# TRAINING ITERATION,         BCE_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,          0.64131,          0.22448,          0.99891
                   2,          0.40695,          0.11935,          0.99671
                   3,          0.29516,          0.07706,          0.95395
                   4,          0.31899,          0.07291,          0.97368
                   5,          0.25029,          0.06268,          0.95066
                   6,          0.25776,          0.06509,          1.00000
                   7,          0.26486,          0.06851,          1.00000
                   8,          0.22967,          0.05923,          0.99013
                   9,          0.21135,          0.05446,          0.95724
                  10,          0.20567,          0.05291,          0.98684
                  11,          0.21457,          0.05724,          0.97697
                  12,          0.22356,          0.06013,          1.00000
                  13,          0.18801,          0.05030,          0.97039
                  14,          0.18013,          0.04872,          0.99671
                  15,          0.17139,          0.04621,          0.97368
                  16,          0.19193,          0.05290,          0.99671
                  17,          0.21192,          0.05925,          1.00000
                  18,          0.16138,          0.04424,          0.99342
                  19,          0.15841,          0.04422,          0.98684
                  20,          0.14625,          0.04058,          0.97368
                  21,          0.16175,          0.04651,          1.00000
                  22,          0.15420,          0.04400,          0.96382
                  23,          0.16641,          0.04806,          0.98684
                  24,          0.15094,          0.04300,          1.00000
                  25,          0.13141,          0.03626,          0.98355
                  26,          0.16042,          0.04616,          1.00000
                  27,          0.12054,          0.03239,          0.94408
                  28,          0.13002,          0.03588,          1.00000
                  29,          0.13981,          0.03957,          0.99342
                  30,          0.11828,          0.03195,          0.99671
                  31,          0.11425,          0.03070,          0.98026
                  32,          0.11058,          0.02962,          0.97697
                  33,          0.12337,          0.03477,          0.99342
                  34,          0.09965,          0.02638,          0.99013
                  35,          0.11129,          0.03038,          0.99342
                  36,          0.09659,          0.02552,          0.98684
                  37,          0.09508,          0.02536,          0.99013
                  38,          0.09552,          0.02545,          0.98026
                  39,          0.08962,          0.02413,          0.98026
                  40,          0.09813,          0.02657,          1.00000
                  41,          0.08711,          0.02272,          1.00000
                  42,          0.09613,          0.02616,          0.99999
                  43,          0.08377,          0.02178,          0.97368
                  44,          0.07136,          0.01833,          0.98684
                  45,          0.11063,          0.03113,          1.00000
                  46,          0.08228,          0.02192,          0.99671
                  47,          0.08562,          0.02272,          1.00000
                  48,          0.09208,          0.02436,          1.00000
                  49,          0.07525,          0.01996,          0.98355
                  50,          0.07502,          0.01943,          0.97039
                  51,          0.08152,          0.02213,          0.99671
                  52,          0.09429,          0.02602,          1.00000
                  53,          0.07634,          0.01973,          0.99013
                  54,          0.07584,          0.01992,          1.00000
                  55,          0.07399,          0.01940,          0.98355
                  56,          0.07585,          0.01981,          0.99998
                  57,          0.07643,          0.01998,          0.98684
                  58,          0.07249,          0.01868,          0.99671
                  59,          0.07588,          0.01985,          0.99342
                  60,          0.07644,          0.02020,          0.99341
                  61,          0.06937,          0.01789,          0.99671
                  62,          0.06988,          0.01825,          0.98355
                  63,          0.06716,          0.01710,          0.94736
                  64,          0.06912,          0.01784,          0.97368
                  65,          0.06941,          0.01829,          0.99342
                  66,          0.07904,          0.02125,          0.99671
                  67,          0.06532,          0.01703,          0.98684
                  68,          0.07064,          0.01858,          0.99013
                  69,          0.07061,          0.01849,          0.99671
                  70,          0.06447,          0.01684,          0.98355
                  71,          0.07016,          0.01848,          0.99671
                  72,          0.06966,          0.01820,          0.99671
                  73,          0.07482,          0.01951,          1.00000
                  74,          0.06680,          0.01728,          0.98355
                  75,          0.06902,          0.01777,          0.95724
                  76,          0.07295,          0.01901,          1.00000
                  77,          0.07426,          0.01961,          1.00000
                  78,          0.07183,          0.01897,          1.00000
                  79,          0.07180,          0.01851,          0.95724
                  80,          0.07461,          0.01944,          0.96382
                  81,          0.06433,          0.01659,          1.00000
                  82,          0.08184,          0.02194,          1.00000
                  83,          0.06946,          0.01808,          1.00000
                  84,          0.05992,          0.01542,          0.95395
                  85,          0.05879,          0.01516,          0.98355
                  86,          0.06972,          0.01867,          0.99671
                  87,          0.05623,          0.01446,          0.98684
                  88,          0.06703,          0.01766,          0.99671
                  89,          0.05705,          0.01483,          0.97368
                  90,          0.06066,          0.01590,          1.00000
                  91,          0.07244,          0.01931,          1.00000
                  92,          0.06579,          0.01730,          0.98684
                  93,          0.07278,          0.01926,          0.98355
                  94,          0.06788,          0.01735,          1.00000
                  95,          0.06310,          0.01624,          0.94737
                  96,          0.06206,          0.01615,          0.98026
                  97,          0.06330,          0.01620,          0.95724
                  98,          0.06658,          0.01731,          0.99013
                  99,          0.05976,          0.01536,          1.00000
                 100,          0.06840,          0.01766,          0.99342
                 101,          0.06001,          0.01543,          0.98355
                 102,          0.07462,          0.01974,          0.99671
                 103,          0.06508,          0.01673,          0.98355
                 104,          0.06428,          0.01696,          0.99671
                 105,          0.07051,          0.01851,          0.99013
                 106,          0.06372,          0.01657,          0.99013
                 107,          0.06133,          0.01593,          0.98684
                 108,          0.06856,          0.01845,          0.99671
                 109,          0.06187,          0.01611,          1.00000
                 110,          0.06027,          0.01564,          0.98684
                 111,          0.06142,          0.01602,          0.99342
                 112,          0.06287,          0.01636,          1.00000
                 113,          0.06639,          0.01749,          1.00000
                 114,          0.05833,          0.01493,          0.96382
                 115,          0.06384,          0.01632,          0.98684
                 116,          0.05898,          0.01552,          0.99671
                 117,          0.06108,          0.01548,          0.98026
                 118,          0.05703,          0.01467,          0.98684
                 119,          0.06509,          0.01739,          1.00000
                 120,          0.05410,          0.01382,          0.95066
                 121,          0.06493,          0.01707,          1.00000
                 122,          0.06926,          0.01798,          0.99671
                 123,          0.05811,          0.01488,          0.99671
                 124,          0.06423,          0.01662,          1.00000
                 125,          0.06304,          0.01645,          0.96382
                 126,          0.06149,          0.01582,          0.99671
                 127,          0.06626,          0.01761,          1.00000
                 128,          0.05974,          0.01517,          1.00000
                 129,          0.05943,          0.01533,          0.97697
                 130,          0.06192,          0.01624,          0.99013
                 131,          0.06179,          0.01570,          0.94408
                 132,          0.06671,          0.01736,          1.00000
                 133,          0.05877,          0.01520,          0.99013
                 134,          0.06282,          0.01637,          0.99671
                 135,          0.05974,          0.01524,          0.98355
                 136,          0.07050,          0.01840,          0.99013
                 137,          0.05963,          0.01553,          0.99013
                 138,          0.06072,          0.01615,          1.00000
                 139,          0.05824,          0.01515,          1.00000
                 140,          0.05680,          0.01444,          0.96382
                 141,          0.06257,          0.01655,          0.97039
                 142,          0.05830,          0.01509,          1.00000
                 143,          0.05397,          0.01390,          0.93092
                 144,          0.06287,          0.01634,          0.99671
                 145,          0.06238,          0.01627,          0.99671
                 146,          0.05683,          0.01466,          0.99342
                 147,          0.06612,          0.01730,          1.00000
                 148,          0.06364,          0.01652,          0.98355
                 149,          0.05330,          0.01364,          0.99671
                 150,          0.06859,          0.01800,          1.00000
                 151,          0.05652,          0.01451,          0.96711
                 152,          0.05925,          0.01530,          1.00000
                 153,          0.06213,          0.01637,          0.99013
                 154,          0.06363,          0.01687,          0.99671
                 155,          0.05869,          0.01534,          0.98355
                 156,          0.05900,          0.01522,          0.99342
                 157,          0.05929,          0.01530,          0.99671
                 158,          0.06890,          0.01846,          0.96711
                 159,          0.05784,          0.01478,          0.97697
                 160,          0.06159,          0.01651,          0.99342
                 161,          0.05650,          0.01443,          0.99342
                 162,          0.05763,          0.01484,          0.99671
                 163,          0.05765,          0.01505,          1.00000
                 164,          0.06676,          0.01771,          0.99013
                 165,          0.05901,          0.01536,          0.97039
                 166,          0.05448,          0.01416,          0.95066
                 167,          0.06550,          0.01751,          1.00000
                 168,          0.05231,          0.01368,          0.96711
                 169,          0.05344,          0.01376,          0.96382
                 170,          0.05451,          0.01420,          0.97039
                 171,          0.06074,          0.01606,          0.97039
                 172,          0.05949,          0.01534,          0.99342
                 173,          0.06288,          0.01638,          1.00000
                 174,          0.05529,          0.01445,          1.00000
                 175,          0.06335,          0.01632,          1.00000
                 176,          0.05504,          0.01421,          0.95395
                 177,          0.05867,          0.01540,          0.99013
                 178,          0.05148,          0.01302,          0.98355
                 179,          0.05279,          0.01358,          0.97039
                 180,          0.05794,          0.01502,          0.99342
                 181,          0.05961,          0.01557,          0.98026
                 182,          0.06116,          0.01588,          1.00000
                 183,          0.05816,          0.01494,          0.98684
                 184,          0.06040,          0.01550,          1.00000
                 185,          0.05476,          0.01421,          0.99671
                 186,          0.05463,          0.01411,          0.95066
                 187,          0.05687,          0.01494,          0.96711
                 188,          0.05166,          0.01315,          0.96711
                 189,          0.06645,          0.01738,          1.00000
                 190,          0.05689,          0.01483,          1.00000
                 191,          0.06792,          0.01794,          0.98355
                 192,          0.05879,          0.01529,          0.99671
                 193,          0.05066,          0.01299,          0.95724
                 194,          0.06496,          0.01711,          1.00000
