----------------------------------------------------------------------
RUN TRAINING:

E:   1/10000 | B:   1/625 | I:     1 | T:  11.2 | dt: 8.22 || LOSSES: BCE 0.7387 | MSE 0.2702 | JACCARD 0.9827 | 
E:   1/10000 | B:   2/625 | I:     2 | T:  13.1 | dt: 1.82 || LOSSES: BCE 0.5310 | MSE 0.1714 | JACCARD 0.9408 | 
E:   1/10000 | B:   3/625 | I:     3 | T:  14.9 | dt: 1.81 || LOSSES: BCE 0.4175 | MSE 0.1211 | JACCARD 0.9803 | 
E:   1/10000 | B:   4/625 | I:     4 | T:  16.7 | dt: 1.82 || LOSSES: BCE 0.2759 | MSE 0.0728 | JACCARD 1.0000 | 
E:   1/10000 | B:   5/625 | I:     5 | T:  18.5 | dt: 1.81 || LOSSES: BCE 0.2216 | MSE 0.0598 | JACCARD 1.0000 | 
E:   1/10000 | B:   6/625 | I:     6 | T:  20.3 | dt: 1.82 || LOSSES: BCE 0.2137 | MSE 0.0596 | JACCARD 0.9967 | 
E:   1/10000 | B:   7/625 | I:     7 | T:  22.2 | dt: 1.82 || LOSSES: BCE 0.1957 | MSE 0.0520 | JACCARD 1.0000 | 
E:   1/10000 | B:   8/625 | I:     8 | T:  24.0 | dt: 1.82 || LOSSES: BCE 0.1765 | MSE 0.0489 | JACCARD 1.0000 | 
E:   1/10000 | B:   9/625 | I:     9 | T:  25.8 | dt: 1.83 || LOSSES: BCE 0.1855 | MSE 0.0511 | JACCARD 1.0000 | 
E:   1/10000 | B:  10/625 | I:    10 | T:  27.6 | dt: 1.83 || LOSSES: BCE 0.1486 | MSE 0.0423 | JACCARD 1.0000 | 
E:   1/10000 | B:  11/625 | I:    11 | T:  29.5 | dt: 1.84 || LOSSES: BCE 0.1247 | MSE 0.0342 | JACCARD 1.0000 | 
E:   1/10000 | B:  12/625 | I:    12 | T:  31.3 | dt: 1.83 || LOSSES: BCE 0.1277 | MSE 0.0356 | JACCARD 0.9901 | 
E:   1/10000 | B:  13/625 | I:    13 | T:  33.1 | dt: 1.84 || LOSSES: BCE 0.1336 | MSE 0.0376 | JACCARD 1.0000 | 
E:   1/10000 | B:  14/625 | I:    14 | T:  35.0 | dt: 1.83 || LOSSES: BCE 0.1172 | MSE 0.0323 | JACCARD 1.0000 | 
E:   1/10000 | B:  15/625 | I:    15 | T:  36.8 | dt: 1.84 || LOSSES: BCE 0.1118 | MSE 0.0306 | JACCARD 1.0000 | 
E:   1/10000 | B:  16/625 | I:    16 | T:  38.6 | dt: 1.83 || LOSSES: BCE 0.1167 | MSE 0.0320 | JACCARD 1.0000 | 
E:   1/10000 | B:  17/625 | I:    17 | T:  40.5 | dt: 1.83 || LOSSES: BCE 0.0834 | MSE 0.0217 | JACCARD 0.9901 | 
E:   1/10000 | B:  18/625 | I:    18 | T:  42.3 | dt: 1.82 || LOSSES: BCE 0.0985 | MSE 0.0277 | JACCARD 0.9375 | 
E:   1/10000 | B:  19/625 | I:    19 | T:  44.2 | dt: 1.92 || LOSSES: BCE 0.0855 | MSE 0.0231 | JACCARD 0.9737 | 
E:   1/10000 | B:  20/625 | I:    20 | T:  46.1 | dt: 1.83 || LOSSES: BCE 0.0792 | MSE 0.0212 | JACCARD 1.0000 | 
E:   1/10000 | B:  21/625 | I:    21 | T:  47.9 | dt: 1.85 || LOSSES: BCE 0.0982 | MSE 0.0271 | JACCARD 0.9375 | 
E:   1/10000 | B:  22/625 | I:    22 | T:  49.7 | dt: 1.82 || LOSSES: BCE 0.0619 | MSE 0.0161 | JACCARD 1.0000 | 
E:   1/10000 | B:  23/625 | I:    23 | T:  51.6 | dt: 1.83 || LOSSES: BCE 0.0822 | MSE 0.0224 | JACCARD 1.0000 | 
E:   1/10000 | B:  24/625 | I:    24 | T:  53.4 | dt: 1.83 || LOSSES: BCE 0.0789 | MSE 0.0214 | JACCARD 0.9934 | 
E:   1/10000 | B:  25/625 | I:    25 | T:  55.2 | dt: 1.82 || LOSSES: BCE 0.0754 | MSE 0.0205 | JACCARD 0.9868 | 
E:   1/10000 | B:  26/625 | I:    26 | T:  57.0 | dt: 1.83 || LOSSES: BCE 0.0663 | MSE 0.0175 | JACCARD 0.9539 | 
E:   1/10000 | B:  27/625 | I:    27 | T:  58.9 | dt: 1.83 || LOSSES: BCE 0.0574 | MSE 0.0153 | JACCARD 0.9638 | 
E:   1/10000 | B:  28/625 | I:    28 | T:  60.7 | dt: 1.84 || LOSSES: BCE 0.0801 | MSE 0.0227 | JACCARD 1.0000 | 
