# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 105,         -2.39336,        -58.13868,          0.13725,          0.95687
                 106,         -2.47407,        -58.65289,          0.13735,          0.95665
                 107,         -2.47778,        -54.26565,          0.14243,          0.94771
                 108,         -2.45208,        -51.91693,          0.13540,          0.95509
                 109,         -2.17686,        -72.79739,          0.14142,          0.96115
                 110,         -2.43885,        -40.04017,          0.14399,          0.95095
                 111,         -2.28180,        -56.58098,          0.14566,          0.94993
                 112,         -2.57464,        -34.19980,          0.14990,          0.95277
                 113,         -2.49981,        -53.72665,          0.14264,          0.95378
                 114,         -2.51154,        -28.93329,          0.14287,          0.95828
                 115,         -2.47736,       -128.17845,          0.13853,          0.95292
                 116,         -2.53217,        -46.68269,          0.14113,          0.96211
                 117,         -2.48745,        -78.14175,          0.14252,          0.94856
                 118,         -2.53591,        -72.33514,          0.14319,          0.95051
                 119,         -2.50971,       -154.30710,          0.14318,          0.95527
                 120,         -2.43785,        -37.09935,          0.14229,          0.95459
                 121,         -2.49330,        -52.48002,          0.13328,          0.96220
                 122,         -2.29367,        -30.15825,          0.13956,          0.96303
                 123,         -2.43825,        -58.13233,          0.14202,          0.95612
                 124,         -2.51114,        -33.42905,          0.13955,          0.95173
                 125,         -2.58172,        -48.36576,          0.13508,          0.96256
                 126,         -2.52678,        -37.53785,          0.13992,          0.95498
                 127,         -2.35623,        -57.10633,          0.14355,          0.95274
                 128,         -2.53289,        -77.00757,          0.14477,          0.95421
                 129,         -2.63371,        -34.86360,          0.14897,          0.94855
                 130,         -2.51654,        -30.25650,          0.14470,          0.95408
                 131,         -2.36570,        -72.45538,          0.14133,          0.95054
                 132,         -2.45964,        -50.69416,          0.14505,          0.95025
                 133,         -2.44734,        -64.65768,          0.14113,          0.95305
                 134,         -2.43153,        -66.29729,          0.14224,          0.94975
                 135,         -2.61714,        -29.81008,          0.14174,          0.95328
                 136,         -2.38627,       -370.00403,          0.14301,          0.95033
                 137,         -2.48588,        -73.42788,          0.14481,          0.95583
                 138,         -2.45395,        -30.73506,          0.14656,          0.95115
                 139,         -2.53562,        -63.57810,          0.14289,          0.95240
                 140,         -2.54700,        -98.55482,          0.13941,          0.95486
                 141,         -2.46188,        -58.56962,          0.14038,          0.94992
                 142,         -2.57410,        -30.35369,          0.14588,          0.95450
                 143,         -2.52372,        -93.48810,          0.14500,          0.94768
                 144,         -2.59927,        -34.56236,          0.14306,          0.95462
                 145,         -2.46947,        -27.68943,          0.13789,          0.95415
                 146,         -2.56433,        -65.01431,          0.14393,          0.95723
                 147,         -2.63800,        -26.72096,          0.14474,          0.95545
                 148,         -2.65628,        -26.88467,          0.13449,          0.95824
                 149,         -2.47756,        -32.41160,          0.14116,          0.94715
                 150,         -2.62019,        -46.00047,          0.13521,          0.96194
