# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,          0.65682,      -2205.86816,          0.24327,          0.94247
                   2,         -0.02772,      -3102.86499,          0.25499,          0.95929
                   3,         -0.50127,      -4530.21338,          0.25516,          0.96001
                   4,         -0.46324,      -1256.39600,          0.24602,          0.95500
                   5,         -0.61351,        -41.05914,          0.22931,          0.95076
                   6,         -0.82487,       -151.04013,          0.21755,          0.94226
                   7,         -0.48101,       -173.03969,          0.21558,          0.95978
                   8,         -0.85327,       -164.48834,          0.19204,          0.94341
                   9,         -0.92338,       -145.43806,          0.18842,          0.97159
                  10,         -0.86632,       -562.62219,          0.17851,          0.97231
                  11,         -0.84013,        -78.08202,          0.17384,          0.97755
                  12,         -0.85752,        -68.69774,          0.16921,          0.99086
                  13,         -0.74885,        -46.81523,          0.17320,          0.98913
                  14,         -0.88355,        -41.76850,          0.15801,          0.99418
                  15,         -1.11909,        -62.96856,          0.15908,          0.99762
                  16,         -1.10322,        -56.56949,          0.14853,          0.99945
                  17,         -1.06384,        -55.97094,          0.14568,          0.99885
                  18,         -1.07709,        -47.16536,          0.14630,          0.99868
                  19,         -0.97643,       -124.46785,          0.14381,          1.00000
                  20,         -0.99917,        -25.49878,          0.14675,          0.99927
                  21,         -1.15663,        -48.83087,          0.14460,          1.00000
                  22,         -1.14494,       -111.06013,          0.14242,          1.00000
                  23,         -1.34824,        -30.91072,          0.13829,          1.00000
                  24,         -1.31076,       -116.86614,          0.13677,          1.00000
                  25,         -1.16981,        -96.34880,          0.14346,          1.00000
                  26,         -1.13717,        -56.81739,          0.14314,          0.96875
                  27,         -1.15797,       -241.34857,          0.13418,          1.00000
                  28,         -1.19215,       -178.26900,          0.13713,          1.00000
                  29,         -1.05165,        -31.19771,          0.13296,          1.00000
                  30,         -1.32198,        -72.19807,          0.13681,          1.00000
                  31,         -1.17061,        -49.03751,          0.14338,          1.00000
                  32,         -1.25110,        -52.93748,          0.13615,          0.96875
                  33,         -1.17213,        -74.05309,          0.13887,          0.96875
                  34,         -1.25278,        -81.01234,          0.13753,          1.00000
                  35,         -0.96274,        -25.67182,          0.14537,          1.00000
                  36,         -1.33345,        -37.70237,          0.14368,          1.00000
                  37,         -1.24067,        -34.27760,          0.13921,          1.00000
                  38,         -1.21248,        -46.72581,          0.13724,          1.00000
                  39,         -1.21160,        -30.37008,          0.13969,          1.00000
                  40,         -1.08565,        -47.09435,          0.13962,          1.00000
                  41,         -1.13161,        -66.37466,          0.13643,          0.96875
                  42,         -1.10669,        -40.77630,          0.14268,          0.93750
                  43,         -1.13869,        -60.36591,          0.14578,          1.00000
                  44,         -1.27093,        -32.46892,          0.14361,          1.00000
                  45,         -1.05750,        -63.53125,          0.14085,          1.00000
                  46,         -1.23424,        -28.61413,          0.14163,          1.00000
                  47,         -1.27922,        -53.79483,          0.14166,          1.00000
                  48,         -1.30727,        -49.67716,          0.13400,          0.93750
                  49,         -1.27176,        -32.99269,          0.13684,          0.96875
                  50,         -1.17838,        -63.15731,          0.13882,          1.00000
                  51,         -1.10564,        -28.96872,          0.14939,          1.00000
                  52,         -1.47156,        -20.02673,          0.13113,          0.93750
                  53,         -1.46406,        -41.72928,          0.13527,          1.00000
                  54,         -1.33624,        -36.50801,          0.13795,          1.00000
                  55,         -1.24875,        -77.13482,          0.13517,          1.00000
                  56,         -1.15619,        -39.52697,          0.13949,          1.00000
                  57,         -1.29219,        -19.41434,          0.14303,          0.96875
                  58,         -1.33986,        -46.56681,          0.13706,          0.96875
                  59,         -1.38003,        -26.17650,          0.13511,          1.00000
                  60,         -1.28966,        -33.09036,          0.13714,          0.96875
                  61,         -1.30181,        -22.32074,          0.13532,          1.00000
                  62,         -1.38656,        -18.84103,          0.13504,          1.00000
                  63,         -1.34557,        -31.90393,          0.13645,          1.00000
                  64,         -1.56856,        -39.87172,          0.14203,          1.00000
                  65,         -1.51406,        -24.23556,          0.13320,          1.00000
                  66,         -1.57724,        -51.59657,          0.13445,          0.96875
                  67,         -1.52746,        -26.43403,          0.12857,          1.00000
                  68,         -1.31585,        -25.52306,          0.13710,          1.00000
                  69,         -1.44690,        -29.99134,          0.13634,          1.00000
                  70,         -1.38785,        -23.32176,          0.13489,          1.00000
                  71,         -1.62534,        -19.42962,          0.13301,          1.00000
                  72,         -1.21114,        -14.21116,          0.13794,          1.00000
                  73,         -1.38003,        -26.19554,          0.13881,          1.00000
                  74,         -1.41065,        -28.87331,          0.13863,          1.00000
                  75,         -1.48891,        -17.67150,          0.12842,          0.96875
                  76,         -1.46038,        -35.55955,          0.13505,          1.00000
                  77,         -1.32744,        -32.38379,          0.12989,          1.00000
                  78,         -1.29614,        -44.81804,          0.14135,          1.00000
                  79,         -1.42163,        -19.25719,          0.14052,          1.00000
                  80,         -1.42752,        -18.70510,          0.14051,          0.96875
                  81,         -1.51962,        -34.83512,          0.13818,          1.00000
                  82,         -1.39531,        -17.80198,          0.13621,          0.96875
                  83,         -1.49325,        -21.14953,          0.13465,          1.00000
                  84,         -1.50132,        -64.34104,          0.13324,          0.93750
                  85,         -1.38776,        -30.86022,          0.13539,          1.00000
                  86,         -1.33843,        -19.91866,          0.13502,          1.00000
                  87,         -1.34644,        -18.04546,          0.13622,          1.00000
                  88,         -1.36414,        -13.21138,          0.13225,          1.00000
                  89,         -1.37594,        -64.33138,          0.12915,          0.96875
                  90,         -1.42948,        -18.03354,          0.13519,          0.96875
