# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 105,         -1.62398,        -11.19337,          0.12551,          1.00000
                 106,         -1.50521,        -16.69430,          0.12198,          0.96875
                 107,         -1.56095,        -13.21391,          0.11956,          1.00000
                 108,         -1.64361,        -14.44900,          0.11688,          1.00000
                 109,         -1.49654,        -12.14030,          0.11654,          1.00000
                 110,         -1.48613,        -20.21891,          0.11960,          1.00000
                 111,         -1.66096,        -14.30611,          0.12493,          1.00000
                 112,         -1.60160,        -11.06205,          0.12488,          0.96875
                 113,         -1.57844,         -6.33290,          0.11004,          1.00000
                 114,         -1.54516,        -12.14141,          0.11486,          0.96875
                 115,         -1.72347,         -9.41494,          0.12085,          0.93750
                 116,         -1.61531,        -11.71480,          0.12230,          1.00000
                 117,         -1.71975,         -9.63792,          0.12374,          0.96875
                 118,         -1.77078,         -8.75475,          0.11681,          1.00000
                 119,         -1.66949,        -11.82396,          0.12142,          1.00000
                 120,         -1.55803,         -8.73544,          0.12052,          0.93750
                 121,         -1.64830,         -5.20068,          0.12316,          0.96875
                 122,         -1.69024,         -5.80031,          0.12524,          1.00000
                 123,         -1.62625,         -8.68746,          0.11625,          1.00000
                 124,         -1.60256,        -20.46353,          0.11764,          1.00000
                 125,         -1.69381,         -6.43488,          0.12102,          1.00000
                 126,         -1.49609,        -12.41575,          0.11022,          1.00000
                 127,         -1.68721,         -9.17879,          0.11685,          1.00000
                 128,         -1.64352,        -13.28409,          0.11783,          1.00000
                 129,         -1.44379,         -6.75072,          0.11553,          1.00000
                 130,         -1.68741,         -9.43808,          0.11302,          1.00000
                 131,         -1.36754,         -6.72692,          0.12020,          1.00000
                 132,         -1.76242,        -11.64340,          0.11651,          1.00000
                 133,         -1.55800,         -5.83745,          0.11855,          1.00000
                 134,         -1.55934,        -15.79249,          0.10346,          1.00000
                 135,         -1.63238,         -6.09825,          0.11327,          1.00000
                 136,         -1.58044,        -12.07105,          0.11873,          0.96875
                 137,         -1.65023,         -5.65584,          0.11580,          1.00000
                 138,         -1.43755,        -13.59973,          0.11427,          1.00000
                 139,         -1.42771,         -5.24597,          0.11183,          1.00000
                 140,         -1.58806,        -16.96009,          0.11206,          0.93750
                 141,         -1.52447,        -10.69587,          0.10665,          1.00000
                 142,         -1.60104,         -6.64142,          0.11118,          0.96875
                 143,         -1.44520,         -5.99263,          0.11193,          0.96875
                 144,         -1.56818,         -5.96475,          0.11199,          1.00000
                 145,         -1.52837,         -6.48574,          0.11842,          1.00000
                 146,         -1.65226,         -3.90026,          0.11434,          1.00000
                 147,         -1.48753,         -9.86402,          0.11094,          0.96875
                 148,         -1.47599,        -11.41335,          0.11491,          1.00000
                 149,         -1.50762,         -9.54526,          0.11039,          0.96875
                 150,         -1.37105,         -3.86954,          0.11717,          1.00000
                 151,         -1.48993,         -6.95052,          0.11848,          1.00000
                 152,         -1.56782,         -7.80023,          0.10962,          1.00000
                 153,         -1.51287,         -4.02041,          0.11359,          1.00000
                 154,         -1.44035,         -8.54566,          0.11197,          1.00000
                 155,         -1.47360,         -8.81776,          0.11027,          0.96875
                 156,         -1.58946,         -5.89079,          0.11885,          1.00000
                 157,         -1.50495,         -5.50608,          0.10927,          1.00000
                 158,         -1.63872,         -6.33855,          0.11004,          0.96875
                 159,         -1.68810,         -6.75245,          0.11372,          1.00000
                 160,         -1.54747,         -6.30757,          0.12014,          0.96875
                 161,         -1.57358,         -5.14785,          0.11897,          1.00000
                 162,         -1.38265,         -3.90967,          0.10397,          0.96875
                 163,         -1.67556,         -5.21592,          0.10868,          1.00000
