# TRAINING ITERATION,         BCE_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 144,          0.02412,          0.00620,          1.00000
                 145,          0.02095,          0.00537,          0.98684
                 146,          0.02510,          0.00657,          1.00000
                 147,          0.02932,          0.00778,          1.00000
                 148,          0.02248,          0.00581,          1.00000
                 149,          0.02398,          0.00608,          1.00000
                 150,          0.02290,          0.00589,          0.97368
                 151,          0.02301,          0.00594,          0.92763
                 152,          0.02394,          0.00614,          1.00000
                 153,          0.01890,          0.00463,          0.97697
                 154,          0.03230,          0.00877,          0.99671
                 155,          0.02565,          0.00684,          1.00000
                 156,          0.02441,          0.00621,          1.00000
                 157,          0.02270,          0.00572,          0.94408
                 158,          0.02373,          0.00613,          0.99013
                 159,          0.02233,          0.00568,          0.95724
                 160,          0.02248,          0.00585,          1.00000
                 161,          0.02667,          0.00713,          1.00000
                 162,          0.01980,          0.00500,          0.99342
                 163,          0.02519,          0.00661,          0.98684
                 164,          0.02639,          0.00667,          1.00000
                 165,          0.02395,          0.00623,          1.00000
                 166,          0.02440,          0.00632,          1.00000
                 167,          0.02937,          0.00754,          1.00000
                 168,          0.02503,          0.00637,          1.00000
                 169,          0.02014,          0.00511,          1.00000
                 170,          0.02254,          0.00578,          0.98355
                 171,          0.02021,          0.00512,          0.96711
                 172,          0.02340,          0.00608,          1.00000
                 173,          0.01857,          0.00481,          1.00000
                 174,          0.02482,          0.00642,          0.95395
                 175,          0.01960,          0.00500,          1.00000
                 176,          0.01926,          0.00495,          1.00000
                 177,          0.01988,          0.00509,          0.99342
                 178,          0.01809,          0.00463,          0.97697
                 179,          0.02431,          0.00619,          0.97368
                 180,          0.01991,          0.00517,          1.00000
                 181,          0.02292,          0.00591,          1.00000
                 182,          0.02172,          0.00546,          1.00000
                 183,          0.02335,          0.00599,          1.00000
                 184,          0.02153,          0.00559,          1.00000
                 185,          0.02123,          0.00548,          0.98026
                 186,          0.01911,          0.00496,          0.99013
                 187,          0.01876,          0.00482,          0.97039
                 188,          0.01856,          0.00468,          1.00000
                 189,          0.02054,          0.00526,          0.99671
                 190,          0.02109,          0.00556,          0.99342
                 191,          0.02797,          0.00719,          1.00000
                 192,          0.02568,          0.00661,          0.99671
                 193,          0.02308,          0.00595,          1.00000
                 194,          0.02501,          0.00639,          1.00000
                 195,          0.02319,          0.00583,          1.00000
                 196,          0.02065,          0.00536,          1.00000
                 197,          0.02556,          0.00678,          1.00000
                 198,          0.02482,          0.00664,          0.98026
                 199,          0.02462,          0.00651,          1.00000
                 200,          0.02320,          0.00597,          1.00000
                 201,          0.02391,          0.00614,          0.99342
                 202,          0.02236,          0.00575,          0.99671
                 203,          0.02618,          0.00663,          1.00000
                 204,          0.01967,          0.00506,          1.00000
                 205,          0.01919,          0.00489,          0.98684
                 206,          0.01824,          0.00471,          0.99013
                 207,          0.02011,          0.00517,          0.99013
                 208,          0.01725,          0.00450,          0.93092
                 209,          0.02608,          0.00687,          1.00000
                 210,          0.01913,          0.00492,          1.00000
                 211,          0.02072,          0.00527,          0.98684
                 212,          0.02246,          0.00575,          0.99342
                 213,          0.02081,          0.00528,          0.97697
                 214,          0.02098,          0.00531,          1.00000
                 215,          0.02184,          0.00556,          0.96711
                 216,          0.02174,          0.00568,          1.00000
                 217,          0.02204,          0.00571,          0.99671
                 218,          0.01941,          0.00505,          1.00000
                 219,          0.02178,          0.00564,          1.00000
                 220,          0.02053,          0.00524,          0.97368
                 221,          0.02003,          0.00515,          0.99013
                 222,          0.02303,          0.00583,          1.00000
                 223,          0.01772,          0.00450,          0.94737
                 224,          0.01932,          0.00492,          1.00000
                 225,          0.02392,          0.00609,          1.00000
                 226,          0.02073,          0.00534,          1.00000
                 227,          0.02030,          0.00526,          0.98026
                 228,          0.01821,          0.00469,          0.96711
                 229,          0.01624,          0.00407,          0.93750
                 230,          0.02057,          0.00536,          0.99671
                 231,          0.01787,          0.00468,          1.00000
                 232,          0.01840,          0.00454,          0.93421
                 233,          0.01916,          0.00486,          1.00000
                 234,          0.02167,          0.00533,          1.00000
                 235,          0.02196,          0.00565,          1.00000
                 236,          0.01994,          0.00511,          0.94737
                 237,          0.02342,          0.00610,          0.99013
                 238,          0.01959,          0.00487,          0.99342
                 239,          0.02060,          0.00534,          1.00000
                 240,          0.02355,          0.00623,          0.97697
                 241,          0.01677,          0.00431,          0.98355
                 242,          0.02453,          0.00641,          0.99671
                 243,          0.02054,          0.00528,          0.98684
                 244,          0.02099,          0.00539,          0.97697
                 245,          0.01894,          0.00487,          1.00000
                 246,          0.01825,          0.00473,          0.99342
                 247,          0.01752,          0.00452,          1.00000
                 248,          0.01543,          0.00382,          0.98026
                 249,          0.02485,          0.00652,          1.00000
                 250,          0.02367,          0.00612,          0.93750
                 251,          0.02214,          0.00566,          1.00000
                 252,          0.02095,          0.00536,          1.00000
                 253,          0.02151,          0.00550,          1.00000
                 254,          0.02408,          0.00620,          1.00000
                 255,          0.01918,          0.00496,          1.00000
                 256,          0.01792,          0.00456,          1.00000
                 257,          0.01768,          0.00458,          1.00000
                 258,          0.02204,          0.00577,          0.97697
                 259,          0.02294,          0.00597,          1.00000
                 260,          0.01990,          0.00511,          1.00000
                 261,          0.02001,          0.00516,          1.00000
                 262,          0.02094,          0.00524,          0.99999
                 263,          0.02265,          0.00583,          0.99342
                 264,          0.02016,          0.00518,          1.00000
                 265,          0.02096,          0.00553,          0.94408
                 266,          0.02490,          0.00643,          1.00000
                 267,          0.01956,          0.00504,          1.00000
                 268,          0.02200,          0.00565,          1.00000
                 269,          0.01681,          0.00432,          1.00000
                 270,          0.02160,          0.00559,          1.00000
                 271,          0.01978,          0.00507,          1.00000
                 272,          0.01890,          0.00485,          0.97368
                 273,          0.01867,          0.00479,          1.00000
                 274,          0.02089,          0.00547,          0.99671
                 275,          0.01864,          0.00483,          1.00000
                 276,          0.02185,          0.00562,          1.00000
                 277,          0.02372,          0.00606,          1.00000
                 278,          0.01914,          0.00490,          1.00000
                 279,          0.01993,          0.00516,          0.94079
                 280,          0.02059,          0.00531,          1.00000
                 281,          0.02071,          0.00536,          0.99671
                 282,          0.01721,          0.00440,          0.94737
                 283,          0.01875,          0.00490,          0.97039
                 284,          0.02047,          0.00527,          1.00000
                 285,          0.02241,          0.00586,          1.00000
                 286,          0.02224,          0.00565,          1.00000
                 287,          0.01980,          0.00490,          0.95395
                 288,          0.02453,          0.00624,          0.99670
                 289,          0.01868,          0.00485,          1.00000
                 290,          0.01949,          0.00499,          1.00000
                 291,          0.02383,          0.00624,          1.00000
                 292,          0.02429,          0.00631,          0.99992
                 293,          0.02200,          0.00574,          0.99995
                 294,          0.02189,          0.00573,          0.99992
                 295,          0.02205,          0.00567,          0.99977
                 296,          0.02073,          0.00530,          0.99981
                 297,          0.02170,          0.00555,          0.99993
                 298,          0.01861,          0.00477,          1.00000
                 299,          0.01833,          0.00463,          0.97368
                 300,          0.01838,          0.00476,          0.97368
                 301,          0.02339,          0.00607,          0.99999
                 302,          0.01840,          0.00481,          0.93747
                 303,          0.01864,          0.00483,          1.00000
                 304,          0.01943,          0.00500,          0.99985
                 305,          0.02243,          0.00568,          0.99982
                 306,          0.02043,          0.00523,          0.99984
                 307,          0.01970,          0.00506,          0.98014
                 308,          0.02112,          0.00543,          0.99009
                 309,          0.02153,          0.00567,          0.99991
                 310,          0.02037,          0.00520,          0.98019
                 311,          0.02065,          0.00534,          0.99989
                 312,          0.01749,          0.00451,          0.99993
                 313,          0.02019,          0.00522,          0.99985
                 314,          0.01850,          0.00477,          0.99977
                 315,          0.01583,          0.00400,          0.96043
                 316,          0.02075,          0.00527,          0.98673
                 317,          0.01911,          0.00492,          0.99999
                 318,          0.01903,          0.00492,          0.99983
                 319,          0.02235,          0.00572,          0.99657
                 320,          0.01732,          0.00449,          0.99963
                 321,          0.02257,          0.00584,          0.99946
                 322,          0.02210,          0.00549,          0.96237
                 323,          0.01851,          0.00473,          0.97578
                 324,          0.01980,          0.00511,          0.99974
                 325,          0.01797,          0.00465,          0.99957
                 326,          0.02322,          0.00607,          0.99967
                 327,          0.02121,          0.00557,          0.99971
                 328,          0.02001,          0.00521,          0.99255
                 329,          0.01979,          0.00515,          0.99873
                 330,          0.02102,          0.00544,          0.99959
                 331,          0.02081,          0.00542,          0.99299
                 332,          0.02180,          0.00570,          0.99961
