# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,          0.51680,       -788.06812,          0.44143,          0.93500
                   2,         -0.20549,       -438.76181,          0.42727,          0.93251
                   3,         -0.54517,      -1254.37842,          0.40917,          0.93392
                   4,         -0.72070,       -133.93968,          0.38281,          0.92857
                   5,         -0.65537,        -39.42586,          0.36187,          0.93976
                   6,         -1.00991,       -118.97031,          0.34276,          0.92818
                   7,         -1.04896,       -150.53882,          0.32402,          0.93866
                   8,         -1.14563,        -45.61681,          0.30301,          0.92406
                   9,         -1.16468,        -78.70172,          0.28469,          0.92673
                  10,         -1.22406,       -138.50677,          0.27057,          0.92960
                  11,         -1.19955,        -66.19914,          0.26039,          0.93938
                  12,         -1.32170,        -37.73100,          0.24537,          0.95011
                  13,         -1.31677,        -98.73458,          0.23590,          0.95801
                  14,         -1.58140,        -39.78526,          0.22156,          0.97544
                  15,         -1.61499,        -35.60583,          0.21629,          0.97299
                  16,         -1.54427,        -54.24448,          0.20981,          0.97851
                  17,         -1.78075,        -38.67932,          0.18839,          0.98849
                  18,         -1.87410,        -31.08399,          0.18520,          0.99389
                  19,         -1.92773,        -41.57576,          0.17547,          0.99624
                  20,         -2.10940,        -96.28696,          0.17134,          0.99487
                  21,         -1.93115,        -36.65680,          0.16540,          0.99981
                  22,         -1.98806,        -22.53780,          0.16246,          0.99707
                  23,         -2.03431,        -88.63455,          0.15740,          0.99885
                  24,         -1.98811,        -36.12052,          0.15686,          0.99957
                  25,         -2.05078,        -67.78136,          0.15399,          0.99917
                  26,         -2.18295,        -45.39812,          0.15861,          0.99801
                  27,         -2.14557,        -41.17289,          0.15056,          0.99978
                  28,         -1.97983,        -28.18642,          0.14960,          1.00000
                  29,         -2.03304,        -33.33566,          0.15149,          0.99974
                  30,         -2.25748,        -38.21741,          0.15002,          1.00000
                  31,         -2.37705,        -16.22197,          0.14021,          1.00000
                  32,         -2.35716,        -28.12210,          0.13912,          1.00000
                  33,         -2.35151,        -28.59961,          0.13568,          1.00000
                  34,         -2.28208,        -56.57110,          0.14143,          0.99946
                  35,         -2.33429,        -16.77274,          0.13400,          1.00000
                  36,         -2.34277,        -17.63835,          0.14073,          1.00000
                  37,         -2.71338,        -20.88456,          0.14008,          1.00000
                  38,         -2.38626,        -32.16751,          0.13660,          0.99989
                  39,         -2.29396,        -16.54740,          0.13610,          0.96875
                  40,         -2.43641,        -25.50355,          0.14062,          1.00000
                  41,         -2.45568,        -15.88295,          0.13409,          1.00000
                  42,         -2.28711,        -34.78895,          0.13501,          1.00000
                  43,         -2.37711,        -54.15062,          0.13253,          0.96875
                  44,         -2.60758,        -18.66050,          0.13402,          1.00000
                  45,         -2.48292,        -13.24274,          0.14234,          1.00000
                  46,         -2.38338,        -19.62513,          0.14602,          1.00000
                  47,         -2.58495,        -15.84051,          0.13170,          0.96875
                  48,         -2.48796,        -12.91735,          0.14030,          1.00000
                  49,         -2.51962,        -14.14392,          0.13583,          1.00000
                  50,         -2.53218,        -11.70783,          0.13247,          0.90625
                  51,         -2.40197,        -10.18240,          0.13280,          1.00000
                  52,         -2.51618,        -11.13793,          0.13291,          1.00000
                  53,         -2.63879,        -10.74688,          0.13109,          1.00000
                  54,         -2.50913,         -7.97699,          0.13188,          0.96875
                  55,         -2.57495,        -28.41037,          0.13183,          1.00000
                  56,         -2.58843,        -11.87232,          0.13731,          1.00000
                  57,         -2.58092,        -10.11865,          0.13545,          1.00000
                  58,         -2.66418,        -12.03579,          0.13496,          1.00000
