#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.02303,              0.04297,              0.02986,              0.37755,              0.49300,              0.45928
             0.02393,              0.03931,              0.03143,              0.37875,              0.49235,              0.47368
             0.02155,              0.05249,              0.03663,              0.35599,              0.58108,              0.50000
             0.02416,              0.06714,              0.05180,              0.38264,              0.66425,              0.64921
             0.01772,              0.06934,              0.06398,              0.30462,              0.71537,              0.72326
             0.02612,              0.05981,              0.04415,              0.41284,              0.63307,              0.58289
             0.02485,              0.06079,              0.03949,              0.40952,              0.64675,              0.56560
             0.02055,              0.06396,              0.04264,              0.35625,              0.65174,              0.58989
             0.02657,              0.05908,              0.04098,              0.37322,              0.60050,              0.54472
             0.02766,              0.06250,              0.04510,              0.37000,              0.59397,              0.54632
             0.02746,              0.05835,              0.04530,              0.37203,              0.55841,              0.53071
             0.02319,              0.05518,              0.04934,              0.33803,              0.54197,              0.56293
             0.02427,              0.07837,              0.05246,              0.46909,              0.76794,              0.63476
             0.01089,              0.06641,              0.05757,              0.32240,              0.76836,              0.72911
             0.01029,              0.03369,              0.02727,              0.29480,              0.56327,              0.52838
             0.00701,              0.02490,              0.01902,              0.25316,              0.51777,              0.47059
             0.00674,              0.02905,              0.02423,              0.20859,              0.55349,              0.55224
             0.01713,              0.04419,              0.02707,              0.39583,              0.64643,              0.50394
             0.01283,              0.04517,              0.03720,              0.32338,              0.66787,              0.60967
             0.00836,              0.03271,              0.03323,              0.32847,              0.60633,              0.66812
             0.00797,              0.03076,              0.02238,              0.33043,              0.63317,              0.57627
             0.01295,              0.03101,              0.02338,              0.44138,              0.69780,              0.66061
             0.01473,              0.02783,              0.02540,              0.42632,              0.64773,              0.64179
             0.00935,              0.02026,              0.01451,              0.29936,              0.48256,              0.45000
             0.00718,              0.01782,              0.01393,              0.25641,              0.42690,              0.39157
             0.01339,              0.03320,              0.01885,              0.44304,              0.70466,              0.51613
             0.00854,              0.04688,              0.04163,              0.37302,              0.87671,              0.88517
             0.00525,              0.03491,              0.03034,              0.22901,              0.76882,              0.75419
             0.01172,              0.02808,              0.01773,              0.32544,              0.61497,              0.52439
             0.01939,              0.03857,              0.02430,              0.39918,              0.65289,              0.55288
             0.02267,              0.05371,              0.03611,              0.36061,              0.66667,              0.61246
             0.02003,              0.05298,              0.04305,              0.30056,              0.61823,              0.57979
             0.01672,              0.05176,              0.03850,              0.29123,              0.56836,              0.51532
