#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.01534,              0.07617,              0.05874,              0.21190,              0.56934,              0.51476
             0.01151,              0.07812,              0.06686,              0.21959,              0.63241,              0.62677
             0.01457,              0.08618,              0.07130,              0.31330,              0.71748,              0.69717
             0.01702,              0.08325,              0.07135,              0.37826,              0.74130,              0.74641
             0.01328,              0.07080,              0.06580,              0.27490,              0.74169,              0.75194
             0.01522,              0.06226,              0.05777,              0.28671,              0.71429,              0.73757
             0.01647,              0.04785,              0.04341,              0.34050,              0.63023,              0.61194
             0.02167,              0.05151,              0.04149,              0.48214,              0.70569,              0.66102
             0.01369,              0.06299,              0.05191,              0.35266,              0.75660,              0.74154
             0.01019,              0.06128,              0.05367,              0.25000,              0.74925,              0.74695
             0.00767,              0.04541,              0.03809,              0.17872,              0.65035,              0.64000
             0.01095,              0.02832,              0.02295,              0.22318,              0.46032,              0.44082
             0.00833,              0.02832,              0.02667,              0.22449,              0.46964,              0.48221
             0.01662,              0.05566,              0.04254,              0.39614,              0.71250,              0.72792
             0.03451,              0.08105,              0.05848,              0.51084,              0.80779,              0.79118
             0.01992,              0.08618,              0.07682,              0.28753,              0.83255,              0.81279
             0.02667,              0.09351,              0.07984,              0.35849,              0.83261,              0.82213
             0.02303,              0.09229,              0.07857,              0.37755,              0.71053,              0.71162
             0.02393,              0.06152,              0.05293,              0.37875,              0.62843,              0.60482
             0.02155,              0.05420,              0.04700,              0.35599,              0.64723,              0.64723
             0.02416,              0.08472,              0.06857,              0.38264,              0.78153,              0.77372
             0.01772,              0.09106,              0.08750,              0.30462,              0.81798,              0.83232
             0.02612,              0.09399,              0.07734,              0.41284,              0.85746,              0.82110
             0.02485,              0.08569,              0.06334,              0.40952,              0.79233,              0.73183
             0.02055,              0.08667,              0.06339,              0.35625,              0.79418,              0.74937
             0.02657,              0.08301,              0.06381,              0.37322,              0.75724,              0.71739
             0.02766,              0.08105,              0.06166,              0.37000,              0.72174,              0.66816
             0.02746,              0.08374,              0.06950,              0.37203,              0.72669,              0.71239
             0.02319,              0.07666,              0.07110,              0.33803,              0.69933,              0.72304
             0.02427,              0.09326,              0.07121,              0.46909,              0.84701,              0.75114
             0.01089,              0.09985,              0.08830,              0.32240,              0.93166,              0.89510
             0.01029,              0.07080,              0.06508,              0.29480,              0.79452,              0.78223
             0.00701,              0.04590,              0.03898,              0.25316,              0.71483,              0.67729
             0.00674,              0.04028,              0.03373,              0.20859,              0.69915,              0.69545
             0.01713,              0.06030,              0.04301,              0.39583,              0.82333,              0.70803
             0.01283,              0.06079,              0.04991,              0.32338,              0.82724,              0.76552
             0.00836,              0.05396,              0.05024,              0.32847,              0.81852,              0.82528
             0.00797,              0.04492,              0.03548,              0.33043,              0.76349,              0.71296
             0.01295,              0.04614,              0.03723,              0.44138,              0.79412,              0.76256
             0.01473,              0.04053,              0.03941,              0.42632,              0.80193,              0.79574
             0.00935,              0.03467,              0.02779,              0.29936,              0.73196,              0.71978
             0.00718,              0.02490,              0.02015,              0.25641,              0.56667,              0.53714
             0.01339,              0.03320,              0.02373,              0.44304,              0.71958,              0.61140
             0.00854,              0.05054,              0.04559,              0.37302,              0.90789,              0.92237
             0.00525,              0.05908,              0.05526,              0.22901,              0.97189,              0.97959
             0.01172,              0.04443,              0.03699,              0.32544,              0.82353,              0.80882
             0.01939,              0.04883,              0.03545,              0.39918,              0.77519,              0.71239
             0.02267,              0.06714,              0.04834,              0.36061,              0.80409,              0.76667
