#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.01258,              0.05835,              0.04715,              0.23762,              0.63228,              0.59626
             0.01103,              0.05151,              0.04467,              0.21233,              0.57808,              0.56250
             0.01386,              0.04224,              0.03352,              0.23024,              0.48870,              0.46154
             0.01835,              0.04004,              0.02492,              0.32131,              0.47813,              0.38750
             0.01516,              0.04272,              0.03263,              0.27273,              0.51775,              0.46970
             0.01644,              0.05273,              0.03509,              0.29167,              0.57909,              0.50000
             0.01890,              0.05127,              0.03311,              0.30091,              0.55263,              0.45906
             0.01545,              0.04883,              0.03747,              0.25904,              0.54945,              0.51648
             0.01633,              0.04468,              0.03884,              0.25309,              0.50000,              0.49725
             0.02288,              0.04492,              0.03650,              0.31921,              0.47545,              0.45119
             0.02129,              0.05127,              0.04150,              0.30400,              0.51220,              0.50882
             0.01731,              0.04956,              0.04615,              0.24665,              0.50123,              0.52163
             0.01867,              0.04346,              0.04094,              0.24590,              0.44389,              0.47525
             0.01926,              0.04028,              0.03039,              0.26703,              0.40741,              0.36709
             0.01748,              0.03979,              0.03540,              0.26000,              0.41371,              0.42500
             0.01702,              0.04980,              0.04061,              0.25688,              0.50123,              0.47118
             0.01690,              0.05762,              0.04026,              0.30508,              0.59296,              0.49608
             0.01078,              0.03467,              0.02814,              0.19858,              0.44937,              0.43709
             0.01285,              0.03955,              0.02614,              0.21523,              0.47647,              0.41066
             0.01369,              0.04053,              0.03072,              0.23270,              0.47159,              0.44510
             0.01647,              0.05005,              0.03578,              0.24496,              0.52699,              0.47696
             0.01636,              0.05029,              0.03606,              0.23944,              0.51372,              0.44772
             0.01829,              0.05469,              0.04087,              0.25330,              0.51972,              0.49246
             0.01858,              0.05640,              0.04544,              0.25445,              0.51910,              0.50577
             0.01530,              0.05225,              0.04460,              0.23913,              0.49652,              0.49649
             0.01361,              0.04688,              0.04104,              0.22388,              0.45070,              0.46247
             0.01745,              0.04419,              0.03683,              0.26471,              0.43095,              0.43532
             0.01492,              0.04590,              0.03719,              0.23565,              0.46420,              0.43257
             0.01424,              0.04468,              0.03368,              0.23052,              0.47165,              0.44142
             0.01150,              0.03491,              0.02933,              0.20930,              0.39503,              0.38547
             0.01129,              0.03052,              0.02267,              0.19588,              0.36982,              0.31642
             0.00819,              0.02271,              0.01665,              0.18727,              0.30392,              0.27036
             0.00986,              0.02393,              0.01845,              0.22857,              0.33793,              0.31973
             0.00724,              0.01855,              0.01925,              0.18265,              0.28253,              0.34074
             0.00825,              0.02515,              0.02049,              0.25749,              0.60947,              0.57317
             0.00641,              0.02319,              0.01925,              0.17647,              0.53073,              0.50282
             0.00869,              0.02661,              0.01717,              0.26627,              0.55330,              0.44693
             0.00848,              0.02856,              0.01620,              0.27742,              0.59091,              0.44444
             0.00895,              0.03247,              0.02294,              0.30137,              0.63033,              0.57219
             0.00935,              0.03101,              0.02427,              0.29240,              0.59070,              0.57635
             0.00681,              0.02930,              0.02439,              0.21925,              0.57143,              0.56938
             0.00637,              0.02515,              0.01896,              0.21739,              0.50990,              0.45312
             0.00794,              0.02563,              0.01661,              0.24607,              0.49065,              0.39394
             0.00665,              0.02710,              0.02007,              0.21311,              0.49554,              0.44976
             0.00913,              0.02661,              0.01662,              0.24257,              0.47391,              0.40000
             0.00705,              0.02148,              0.01734,              0.18269,              0.38596,              0.38710
             0.00405,              0.01538,              0.01368,              0.10145,              0.29032,              0.30841
             0.00539,              0.00952,              0.00675,              0.14815,              0.17890,              0.18049
             0.00589,              0.00708,              0.00564,              0.12785,              0.13182,              0.13679
             0.00510,              0.00610,              0.00686,              0.13575,              0.11521,              0.16742
             0.00600,              0.00757,              0.00723,              0.17925,              0.14155,              0.18468
             0.00541,              0.03638,              0.03152,              0.12931,              0.51557,              0.49826
             0.00772,              0.02808,              0.02097,              0.17155,              0.42593,              0.37209
             0.01225,              0.02539,              0.01620,              0.23372,              0.37410,              0.29961
             0.00870,              0.02832,              0.02034,              0.15789,              0.40138,              0.35125
             0.01143,              0.03076,              0.02465,              0.20913,              0.43299,              0.40767
             0.01129,              0.02783,              0.02149,              0.23651,              0.40426,              0.37184
             0.01245,              0.03125,              0.02032,              0.33636,              0.45552,              0.36923
             0.01146,              0.03491,              0.02908,              0.34659,              0.52574,              0.53659
             0.00835,              0.03809,              0.03340,              0.28025,              0.60938,              0.60331
             0.01037,              0.03711,              0.02834,              0.28415,              0.58687,              0.56000
             0.00746,              0.02930,              0.02391,              0.22059,              0.50420,              0.50661
             0.00757,              0.02319,              0.01726,              0.18636,              0.42601,              0.39234
             0.00648,              0.01782,              0.01331,              0.16814,              0.31466,              0.31556
             0.00629,              0.01709,              0.01366,              0.15086,              0.29167,              0.29487
             0.00551,              0.01562,              0.01281,              0.12500,              0.26556,              0.26667
             0.00770,              0.01440,              0.01176,              0.19196,              0.24481,              0.26383
             0.00780,              0.02246,              0.01652,              0.18636,              0.36364,              0.31349
             0.00862,              0.02563,              0.01882,              0.33071,              0.62874,              0.57616
             0.00679,              0.02393,              0.02076,              0.24648,              0.61635,              0.59006
             0.01064,              0.02441,              0.01696,              0.34375,              0.59524,              0.50311
             0.00832,              0.01685,              0.01369,              0.29605,              0.43949,              0.44156
             0.00804,              0.01489,              0.01200,              0.26667,              0.38125,              0.42208
             0.00690,              0.01465,              0.01092,              0.23810,              0.36364,              0.35099
             0.00502,              0.01489,              0.01145,              0.19620,              0.36095,              0.35152
