#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.02800,              0.03247,              0.01216,              0.41026,              0.34545,              0.15896
             0.02103,              0.02710,              0.01416,              0.32768,              0.31534,              0.21614
             0.01705,              0.01685,              0.01170,              0.27389,              0.22697,              0.18211
             0.01650,              0.01636,              0.01108,              0.32155,              0.25094,              0.19444
             0.01427,              0.01367,              0.00824,              0.31739,              0.25000,              0.16300
             0.01041,              0.01172,              0.00684,              0.30270,              0.25263,              0.15054
             0.00776,              0.00659,              0.00438,              0.22857,              0.15882,              0.11950
             0.00685,              0.00684,              0.00463,              0.23596,              0.16185,              0.13953
             0.00600,              0.00684,              0.00448,              0.22619,              0.17178,              0.12048
             0.02056,              0.02246,              0.00710,              0.49115,              0.41818,              0.22034
             0.01897,              0.02100,              0.00824,              0.41004,              0.36134,              0.20690
             0.02203,              0.02612,              0.00811,              0.46484,              0.42629,              0.18834
             0.01492,              0.02002,              0.00759,              0.38249,              0.37273,              0.21327
             0.01228,              0.01562,              0.00673,              0.39080,              0.36994,              0.18681
             0.01148,              0.01562,              0.00521,              0.44853,              0.44755,              0.21774
             0.01546,              0.01733,              0.00441,              0.55034,              0.47651,              0.15596
             0.01216,              0.01099,              0.00679,              0.43333,              0.30201,              0.30303
             0.01183,              0.01074,              0.00810,              0.38365,              0.27848,              0.31757
             0.00910,              0.01001,              0.00665,              0.33121,              0.25786,              0.25658
             0.02116,              0.02710,              0.00623,              0.65060,              0.62011,              0.24476
             0.01251,              0.02075,              0.00567,              0.49635,              0.55921,              0.24576
             0.01018,              0.01514,              0.00305,              0.39130,              0.42759,              0.14035
             0.01429,              0.01538,              0.00169,              0.40606,              0.37952,              0.06667
             0.02326,              0.02319,              0.00575,              0.51570,              0.42035,              0.20915
             0.03060,              0.03296,              0.00685,              0.47484,              0.42722,              0.16438
             0.02407,              0.02686,              0.01029,              0.36752,              0.32448,              0.16038
             0.02212,              0.02539,              0.00917,              0.36697,              0.33227,              0.16181
             0.02953,              0.03271,              0.00838,              0.51007,              0.45578,              0.17557
             0.00211,              0.00195,              0.00200,              0.20339,              0.13115,              0.16667
             0.01285,              0.01294,              0.00165,              0.55000,              0.51456,              0.14545
             0.02013,              0.02344,              0.00237,              0.56180,              0.53631,              0.10000
             0.02866,              0.03369,              0.00350,              0.49814,              0.50365,              0.07186
             0.01309,              0.01538,              0.00607,              0.26014,              0.21070,              0.13439
             0.00732,              0.00732,              0.00516,              0.12092,              0.09709,              0.09764
             0.00847,              0.01050,              0.00439,              0.14286,              0.14098,              0.05281
             0.02703,              0.03149,              0.00500,              0.41254,              0.41479,              0.08759
             0.02676,              0.03369,              0.00595,              0.51515,              0.51111,              0.11966
             0.03728,              0.04248,              0.00708,              0.68727,              0.63504,              0.21466
             0.02157,              0.02612,              0.00871,              0.40385,              0.39338,              0.21154
             0.02017,              0.02686,              0.00850,              0.38776,              0.35948,              0.19920
             0.02203,              0.02148,              0.00776,              0.35127,              0.28025,              0.14338
             0.01565,              0.01709,              0.00934,              0.28526,              0.22222,              0.17526
             0.01574,              0.02148,              0.00930,              0.27797,              0.28025,              0.15917
             0.02106,              0.02490,              0.00716,              0.39100,              0.34459,              0.14717
             0.02204,              0.02783,              0.00755,              0.45318,              0.41455,              0.15481
             0.01857,              0.02466,              0.00618,              0.45259,              0.41909,              0.15311
             0.01062,              0.01465,              0.00537,              0.31633,              0.29851,              0.11050
             0.01051,              0.00952,              0.00195,              0.51546,              0.40206,              0.18966
             0.00781,              0.00659,              0.00291,              0.28571,              0.22314,              0.15152
             0.00905,              0.01196,              0.00351,              0.32331,              0.34752,              0.14754
             0.00858,              0.01367,              0.00366,              0.42017,              0.44094,              0.11966
             0.00867,              0.01562,              0.00357,              0.63750,              0.67368,              0.20482
             0.00105,              0.00269,              0.00195,              0.11111,              0.25581,              0.16279
             0.00685,              0.00903,              0.00068,              0.75510,              0.75510,              0.00000
             0.01219,              0.01416,              0.00195,              0.83582,              0.77333,              0.48276
             0.01628,              0.01465,              0.00468,              0.73171,              0.48780,              0.47619
             0.00928,              0.00635,              0.00380,              0.31333,              0.17450,              0.16935
             0.01155,              0.00952,              0.00432,              0.32402,              0.21547,              0.17881
             0.01994,              0.02417,              0.00505,              0.48636,              0.44196,              0.12429
             0.01862,              0.02368,              0.00721,              0.40000,              0.43111,              0.21466
             0.02486,              0.02515,              0.00718,              0.50973,              0.40551,              0.22340
             0.02795,              0.03052,              0.01136,              0.47231,              0.40193,              0.26829
             0.02813,              0.02832,              0.01255,              0.44970,              0.34524,              0.25430
             0.01858,              0.02002,              0.00935,              0.30000,              0.25545,              0.14047
             0.01944,              0.02026,              0.00920,              0.35764,              0.29329,              0.18243
             0.01839,              0.01709,              0.00733,              0.43363,              0.31963,              0.18834
             0.06703,              0.07642,              0.01182,              0.63711,              0.63489,              0.15640
             0.03967,              0.04272,              0.01234,              0.53133,              0.43641,              0.24232
             0.03038,              0.03174,              0.01190,              0.34624,              0.29817,              0.16173
