#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00164,              0.00292,              0.00166,              0.09390,              0.12682,              0.08447
             0.00285,              0.00520,              0.00271,              0.06808,              0.09077,              0.05962
             0.00373,              0.00734,              0.00392,              0.09359,              0.13202,              0.09780
             0.00299,              0.00589,              0.00346,              0.08237,              0.11952,              0.09249
             0.00261,              0.00517,              0.00278,              0.07581,              0.11251,              0.08091
             0.00018,              0.00080,              0.00064,              0.04450,              0.14286,              0.13594
             0.00413,              0.01016,              0.00563,              0.06856,              0.12271,              0.09101
             0.00333,              0.00736,              0.00436,              0.06562,              0.10641,              0.08297
             0.00313,              0.00645,              0.00343,              0.07874,              0.12073,              0.08513
             0.00225,              0.00384,              0.00143,              0.05219,              0.07007,              0.03382
             0.00309,              0.00493,              0.00235,              0.09726,              0.11758,              0.07634
             0.00275,              0.00559,              0.00329,              0.06548,              0.09693,              0.07272
             0.00369,              0.00671,              0.00302,              0.07765,              0.10907,              0.06949
             0.00387,              0.00870,              0.00484,              0.08553,              0.13769,              0.09624
             0.00403,              0.00630,              0.00265,              0.04493,              0.05488,              0.02777
             0.00434,              0.00834,              0.00405,              0.09471,              0.13069,              0.08793
             0.00371,              0.00612,              0.00267,              0.06682,              0.08227,              0.05213
             0.00267,              0.00496,              0.00251,              0.09810,              0.13473,              0.09324
             0.00177,              0.00338,              0.00225,              0.08552,              0.11927,              0.09890
             0.00435,              0.00624,              0.00265,              0.08624,              0.09591,              0.05580
             0.00396,              0.00820,              0.00410,              0.10359,              0.15452,              0.10398
             0.00534,              0.00957,              0.00472,              0.07458,              0.10280,              0.06785
             0.00023,              0.00031,              0.00014,              0.26437,              0.29630,              0.18571
             0.00556,              0.01002,              0.00509,              0.07048,              0.09464,              0.06409
             0.00484,              0.00920,              0.00509,              0.05922,              0.08489,              0.06092
             0.00307,              0.00391,              0.00156,              0.07715,              0.07581,              0.03927
             0.00392,              0.00734,              0.00339,              0.08853,              0.12678,              0.08153
             0.00399,              0.00794,              0.00447,              0.07542,              0.11545,              0.08543
             0.00286,              0.00535,              0.00293,              0.05642,              0.07773,              0.05544
             0.00052,              0.00080,              0.00028,              0.07493,              0.08832,              0.03524
             0.00390,              0.00708,              0.00332,              0.09484,              0.12761,              0.07768
             0.00356,              0.00695,              0.00367,              0.05590,              0.08247,              0.05435
             0.00552,              0.01023,              0.00521,              0.06685,              0.09475,              0.06579
             0.00591,              0.01128,              0.00539,              0.10225,              0.14658,              0.09312
             0.00552,              0.01083,              0.00527,              0.05645,              0.07987,              0.05298
             0.00229,              0.00655,              0.00411,              0.06265,              0.12702,              0.09752
             0.00417,              0.00932,              0.00547,              0.06435,              0.10387,              0.08328
             0.00252,              0.00468,              0.00217,              0.05090,              0.07260,              0.04199
             0.00084,              0.00172,              0.00082,              0.13522,              0.21648,              0.14462
             0.00177,              0.00428,              0.00226,              0.15650,              0.26683,              0.19562
             0.00767,              0.01380,              0.00660,              0.05707,              0.07686,              0.04719
             0.00590,              0.01225,              0.00776,              0.07541,              0.11220,              0.08873
             0.00473,              0.00906,              0.00493,              0.05797,              0.08201,              0.05868
             0.00384,              0.00560,              0.00270,              0.09949,              0.11179,              0.07156
             0.00380,              0.00822,              0.00460,              0.07972,              0.12708,              0.09495
             0.00404,              0.00795,              0.00389,              0.10282,              0.14930,              0.10205
             0.00324,              0.00693,              0.00380,              0.07922,              0.12007,              0.08588
             0.00331,              0.00573,              0.00281,              0.10938,              0.13972,              0.09971
             0.00377,              0.00739,              0.00411,              0.05359,              0.08084,              0.06217
