#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00759,              0.01676,              0.00937,              0.13725,              0.21650,              0.16135
             0.00456,              0.00960,              0.00575,              0.11779,              0.17413,              0.13040
             0.00367,              0.00730,              0.00418,              0.11220,              0.16555,              0.12358
             0.00608,              0.01335,              0.00823,              0.11119,              0.17658,              0.14141
             0.00537,              0.01227,              0.00737,              0.13273,              0.21621,              0.17306
             0.00428,              0.00834,              0.00488,              0.17233,              0.24082,              0.19046
             0.00469,              0.01204,              0.00851,              0.09783,              0.17923,              0.16408
             0.00295,              0.00761,              0.00512,              0.11799,              0.22416,              0.19587
             0.00272,              0.00798,              0.00539,              0.10052,              0.19571,              0.16352
             0.00590,              0.01781,              0.01300,              0.09835,              0.20394,              0.18423
             0.00376,              0.00953,              0.00658,              0.10097,              0.17608,              0.15032
             0.00826,              0.01784,              0.01061,              0.10238,              0.16645,              0.13121
             0.00533,              0.01199,              0.00769,              0.10700,              0.16924,              0.13864
             0.00838,              0.01595,              0.00816,              0.15192,              0.21265,              0.15217
             0.00585,              0.01512,              0.00931,              0.11875,              0.21322,              0.16513
             0.00575,              0.01605,              0.01121,              0.10243,              0.20408,              0.17681
             0.00652,              0.01837,              0.01253,              0.08638,              0.17196,              0.14830
             0.00386,              0.00952,              0.00648,              0.07652,              0.13704,              0.11601
             0.00413,              0.01038,              0.00633,              0.11974,              0.20841,              0.16057
             0.00425,              0.00953,              0.00561,              0.13678,              0.22149,              0.16734
             0.00334,              0.00736,              0.00468,              0.16887,              0.26552,              0.21907
             0.00386,              0.00869,              0.00527,              0.12409,              0.19425,              0.15417
             0.00856,              0.01966,              0.01180,              0.08871,              0.14697,              0.11110
             0.00443,              0.00943,              0.00569,              0.10502,              0.15551,              0.12373
             0.00235,              0.00766,              0.00560,              0.06398,              0.14262,              0.12779
             0.00584,              0.01453,              0.00986,              0.12627,              0.22034,              0.18496
             0.00372,              0.00953,              0.00626,              0.11363,              0.22018,              0.18232
             0.00748,              0.01674,              0.01002,              0.13822,              0.22760,              0.18266
             0.00835,              0.01828,              0.01068,              0.10586,              0.16597,              0.12797
             0.00581,              0.01564,              0.01025,              0.13016,              0.24253,              0.20614
             0.00398,              0.01222,              0.00827,              0.09222,              0.21190,              0.18138
             0.00185,              0.00627,              0.00443,              0.07520,              0.17694,              0.15817
             0.00383,              0.00955,              0.00618,              0.11253,              0.19824,              0.17325
             0.00473,              0.01099,              0.00586,              0.13894,              0.22353,              0.15098
             0.00501,              0.01236,              0.00785,              0.10971,              0.20134,              0.16490
             0.00378,              0.00973,              0.00589,              0.13184,              0.24055,              0.17964
             0.00588,              0.01348,              0.00789,              0.10892,              0.18071,              0.13822
             0.00475,              0.01063,              0.00580,              0.07407,              0.12451,              0.08548
             0.00114,              0.00326,              0.00217,              0.10914,              0.21525,              0.17441
             0.00870,              0.02330,              0.01488,              0.10192,              0.19167,              0.15864
             0.00610,              0.01701,              0.01111,              0.08415,              0.17181,              0.14611
             0.00997,              0.02102,              0.01234,              0.16672,              0.25266,              0.20013
             0.00441,              0.01090,              0.00677,              0.08367,              0.15046,              0.12338
             0.00615,              0.01394,              0.00906,              0.12957,              0.20402,              0.17291
             0.00682,              0.01683,              0.01066,              0.11253,              0.18914,              0.15386
             0.00389,              0.01145,              0.00803,              0.09526,              0.20315,              0.17498
             0.00787,              0.01852,              0.01078,              0.13128,              0.21926,              0.16667
             0.00626,              0.01543,              0.00957,              0.10565,              0.18568,              0.14781
             0.00826,              0.01724,              0.01056,              0.12493,              0.18170,              0.14685
             0.00170,              0.00443,              0.00288,              0.09982,              0.19942,              0.16202
             0.00435,              0.00975,              0.00573,              0.12450,              0.19557,              0.15548
             0.00747,              0.01810,              0.01169,              0.10263,              0.18273,              0.15277
             0.00647,              0.01331,              0.00794,              0.15126,              0.22429,              0.17992
             0.00000,              0.00000,              0.00000,              0.00000,              0.00000,              0.00000
             0.00860,              0.02093,              0.01224,              0.11183,              0.19251,              0.14660
             0.00623,              0.01676,              0.01046,              0.10990,              0.21335,              0.17163
             0.00728,              0.01990,              0.01171,              0.09438,              0.18471,              0.13867
             0.00402,              0.01079,              0.00678,              0.12559,              0.23503,              0.19146
             0.00791,              0.01992,              0.01185,              0.12005,              0.21693,              0.16826
             0.00538,              0.01286,              0.00778,              0.11202,              0.19578,              0.15222
             0.00604,              0.01045,              0.00526,              0.12478,              0.15926,              0.10987
             0.00748,              0.01737,              0.01028,              0.11964,              0.20297,              0.15530
             0.01003,              0.02178,              0.01500,              0.14454,              0.22597,              0.19360
             0.00393,              0.01032,              0.00659,              0.07334,              0.14090,              0.11483
             0.00999,              0.02213,              0.01278,              0.11108,              0.17550,              0.13192
             0.00531,              0.01347,              0.00879,              0.10957,              0.20027,              0.17133
             0.00645,              0.01264,              0.00734,              0.08263,              0.12151,              0.09047
             0.00646,              0.01636,              0.00992,              0.10943,              0.19872,              0.16024
             0.00655,              0.01537,              0.00954,              0.12242,              0.21131,              0.16746
             0.00654,              0.01649,              0.01000,              0.14793,              0.27148,              0.21640
             0.00569,              0.01225,              0.00695,              0.10565,              0.16271,              0.12134
             0.00679,              0.02016,              0.01296,              0.09621,              0.19768,              0.16062
             0.00366,              0.00930,              0.00551,              0.08050,              0.15201,              0.11463
             0.00416,              0.01174,              0.00832,              0.07998,              0.16004,              0.13965
             0.00357,              0.01067,              0.00699,              0.09210,              0.19402,              0.16089
             0.00504,              0.01214,              0.00746,              0.09191,              0.16429,              0.12598
             0.00565,              0.01479,              0.00986,              0.09514,              0.17826,              0.15663
             0.00557,              0.01169,              0.00654,              0.13041,              0.19341,              0.14092
             0.00635,              0.01105,              0.00572,              0.14799,              0.19322,              0.12832
             0.00346,              0.01133,              0.00865,              0.07726,              0.17927,              0.16656
             0.00888,              0.02034,              0.01193,              0.16435,              0.26958,              0.21171
             0.00274,              0.00777,              0.00609,              0.11526,              0.22194,              0.21206
             0.00640,              0.01371,              0.00869,              0.14091,              0.23476,              0.20324
             0.00563,              0.01487,              0.00995,              0.10888,              0.20892,              0.18055
             0.00331,              0.00553,              0.00322,              0.17842,              0.22443,              0.15860
             0.00682,              0.01759,              0.01110,              0.11146,              0.20294,              0.16884
             0.00538,              0.01574,              0.01066,              0.12177,              0.25123,              0.21356
             0.00520,              0.01268,              0.00893,              0.12983,              0.22601,              0.20863
             0.00529,              0.01235,              0.00725,              0.13870,              0.23606,              0.18430
             0.00562,              0.01302,              0.00797,              0.13332,              0.21757,              0.17579
             0.00368,              0.00915,              0.00613,              0.11202,              0.19794,              0.17291
             0.00056,              0.00173,              0.00117,              0.07658,              0.18724,              0.15186
             0.00491,              0.01570,              0.01136,              0.08363,              0.19624,              0.17775
             0.00567,              0.01349,              0.00852,              0.11456,              0.19499,              0.15390
             0.00501,              0.01024,              0.00551,              0.10038,              0.15515,              0.10593
             0.00493,              0.01293,              0.00895,              0.10922,              0.19968,              0.17391
             0.00344,              0.00747,              0.00432,              0.09386,              0.15142,              0.11483
             0.00513,              0.01092,              0.00661,              0.16646,              0.24876,              0.20144
             0.00500,              0.01105,              0.00674,              0.11543,              0.18467,              0.15323
             0.00631,              0.01667,              0.01011,              0.11768,              0.21762,              0.17319
             0.00706,              0.01307,              0.00815,              0.08403,              0.11612,              0.09441
             0.00656,              0.01524,              0.00804,              0.13729,              0.22860,              0.15850
             0.00573,              0.01416,              0.00992,              0.13339,              0.22522,              0.20571
             0.00457,              0.00987,              0.00558,              0.13345,              0.21800,              0.16618
             0.00281,              0.00695,              0.00431,              0.12728,              0.21744,              0.16791
             0.00700,              0.01430,              0.00837,              0.13936,              0.20007,              0.15676
             0.00808,              0.02205,              0.01387,              0.12465,              0.23318,              0.18852
             0.00729,              0.01713,              0.01090,              0.13136,              0.22468,              0.18574
             0.00077,              0.00100,              0.00051,              0.25763,              0.28996,              0.21600
             0.00887,              0.02044,              0.01236,              0.11395,              0.19070,              0.15399
             0.00706,              0.01643,              0.01007,              0.10214,              0.17074,              0.13328
             0.00509,              0.00830,              0.00414,              0.14120,              0.17144,              0.11400
             0.00687,              0.01573,              0.00960,              0.13055,              0.21485,              0.17186
             0.00655,              0.01614,              0.01017,              0.11377,              0.19889,              0.15770
             0.00443,              0.01214,              0.00814,              0.09671,              0.18874,              0.16179
             0.00211,              0.00400,              0.00201,              0.21949,              0.30671,              0.22258
             0.00632,              0.01461,              0.00954,              0.13272,              0.20654,              0.17755
