#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.01242,              0.01782,              0.01339,              0.26316,              0.29675,              0.26190
             0.00788,              0.01587,              0.01731,              0.20188,              0.26971,              0.33198
             0.00761,              0.01440,              0.01516,              0.19704,              0.25322,              0.30672
             0.00868,              0.01099,              0.01043,              0.20500,              0.20642,              0.23364
             0.01273,              0.01611,              0.01082,              0.28440,              0.29075,              0.26047
             0.01293,              0.02173,              0.01703,              0.29536,              0.37712,              0.35714
             0.00987,              0.02393,              0.01996,              0.23556,              0.40164,              0.41423
             0.00880,              0.02100,              0.01860,              0.19048,              0.34538,              0.35146
             0.01101,              0.01929,              0.01395,              0.22490,              0.31102,              0.25957
             0.00966,              0.01514,              0.01363,              0.19380,              0.24900,              0.27559
             0.01060,              0.01416,              0.01497,              0.20690,              0.22568,              0.29008
             0.01108,              0.01294,              0.01204,              0.22481,              0.20543,              0.24231
             0.01099,              0.01562,              0.01441,              0.23904,              0.24521,              0.29008
             0.01222,              0.01562,              0.01561,              0.26400,              0.24151,              0.29885
             0.01185,              0.01270,              0.01396,              0.26613,              0.20553,              0.28125
             0.01101,              0.00977,              0.01411,              0.25941,              0.16667,              0.29482
             0.00584,              0.00635,              0.00704,              0.21477,              0.17931,              0.25333
             0.00624,              0.00684,              0.00783,              0.20395,              0.18919,              0.24503
             0.00621,              0.00732,              0.00752,              0.21795,              0.19868,              0.25806
             0.00624,              0.00830,              0.00709,              0.21250,              0.22078,              0.21656
             0.00450,              0.00781,              0.00847,              0.13462,              0.20513,              0.25000
             0.00475,              0.00854,              0.00676,              0.15432,              0.21875,              0.20732
             0.00405,              0.00732,              0.00601,              0.15385,              0.19355,              0.21118
             0.00424,              0.00854,              0.00753,              0.13605,              0.22293,              0.21154
             0.00671,              0.01270,              0.00736,              0.21528,              0.32099,              0.22581
             0.00705,              0.01807,              0.01252,              0.23741,              0.43787,              0.35849
             0.00482,              0.02222,              0.01917,              0.21138,              0.53529,              0.52410
             0.00369,              0.02026,              0.01997,              0.15044,              0.51875,              0.56051
             0.00701,              0.02148,              0.01544,              0.29915,              0.56051,              0.46528
             0.00360,              0.01733,              0.01685,              0.18018,              0.48966,              0.53191
             0.00506,              0.01782,              0.01456,              0.23729,              0.50000,              0.47445
             0.00262,              0.01196,              0.01048,              0.11607,              0.37692,              0.36800
             0.00212,              0.01123,              0.01005,              0.09735,              0.35115,              0.34884
             0.00645,              0.02710,              0.02146,              0.13793,              0.38676,              0.33916
             0.00649,              0.02661,              0.02053,              0.15493,              0.39636,              0.34432
             0.00770,              0.02734,              0.01769,              0.19307,              0.43243,              0.33061
             0.00738,              0.02515,              0.01939,              0.19797,              0.42041,              0.36975
             0.01169,              0.02759,              0.01714,              0.27273,              0.46694,              0.34667
             0.01191,              0.03027,              0.01705,              0.27962,              0.50202,              0.37156
             0.00970,              0.03223,              0.02371,              0.21364,              0.51765,              0.44958
             0.01061,              0.03052,              0.01996,              0.23684,              0.49801,              0.38235
             0.00630,              0.02563,              0.02050,              0.13488,              0.41833,              0.38819
             0.00634,              0.02246,              0.01823,              0.12446,              0.35385,              0.31557
             0.00670,              0.01782,              0.01389,              0.13200,              0.29084,              0.25101
             0.00821,              0.02002,              0.01286,              0.15504,              0.30943,              0.23810
             0.00737,              0.02026,              0.01542,              0.15891,              0.29964,              0.27170
             0.00849,              0.02026,              0.01246,              0.16854,              0.28920,              0.22989
             0.00977,              0.02124,              0.00986,              0.18750,              0.29592,              0.19134
             0.00733,              0.02148,              0.01447,              0.13830,              0.29630,              0.23345
             0.00474,              0.01807,              0.01598,              0.09123,              0.24585,              0.25490
             0.01262,              0.01587,              0.01556,              0.17971,              0.18895,              0.21937
             0.01333,              0.01831,              0.01726,              0.20228,              0.21307,              0.24513
             0.01082,              0.01733,              0.01604,              0.17009,              0.20228,              0.22380
             0.01041,              0.01978,              0.01369,              0.15727,              0.22881,              0.19242
             0.00883,              0.02002,              0.01328,              0.13678,              0.23429,              0.19885
             0.01197,              0.02417,              0.01734,              0.17538,              0.27887,              0.23699
             0.00772,              0.02246,              0.02017,              0.13636,              0.26590,              0.27507
             0.00549,              0.01929,              0.01826,              0.09441,              0.24308,              0.25301
             0.00582,              0.01489,              0.01357,              0.11654,              0.20066,              0.20915
             0.00597,              0.01685,              0.01294,              0.11417,              0.23390,              0.19728
             0.00428,              0.01685,              0.01279,              0.09283,              0.24910,              0.19713
             0.00612,              0.01807,              0.01197,              0.13023,              0.28794,              0.20930
             0.00579,              0.02124,              0.01473,              0.16304,              0.36250,              0.26360
             0.00345,              0.01904,              0.01828,              0.10897,              0.35135,              0.35747
             0.00262,              0.01611,              0.01473,              0.08511,              0.33846,              0.32821
             0.00182,              0.01099,              0.00955,              0.05691,              0.28125,              0.25000
             0.00126,              0.01123,              0.01012,              0.06364,              0.30872,              0.28477
             0.00803,              0.03076,              0.02351,              0.12158,              0.31818,              0.27848
             0.00672,              0.02686,              0.02325,              0.12914,              0.29891,              0.28689
             0.00486,              0.02637,              0.02444,              0.08000,              0.30508,              0.30548
             0.00444,              0.01929,              0.01733,              0.09420,              0.24383,              0.24138
             0.00374,              0.01538,              0.01179,              0.06296,              0.20724,              0.18121
             0.00313,              0.01221,              0.01038,              0.06439,              0.17301,              0.17133
             0.00599,              0.01562,              0.01144,              0.11397,              0.21549,              0.19231
             0.00558,              0.01685,              0.01476,              0.10989,              0.23311,              0.22867
             0.00480,              0.01782,              0.01500,              0.09025,              0.24415,              0.22526
             0.00650,              0.01587,              0.01267,              0.10997,              0.21667,              0.19667
             0.00640,              0.01343,              0.01084,              0.10508,              0.18581,              0.16892
             0.00797,              0.01465,              0.00963,              0.12787,              0.19608,              0.17492
             0.00831,              0.01270,              0.01187,              0.15480,              0.16938,              0.19938
             0.01039,              0.01611,              0.01300,              0.16099,              0.20690,              0.19436
             0.01004,              0.01831,              0.01472,              0.15888,              0.22866,              0.23171
             0.00850,              0.02173,              0.01956,              0.14062,              0.26176,              0.27219
             0.01374,              0.02661,              0.01785,              0.20795,              0.31594,              0.24484
             0.00198,              0.01636,              0.01542,              0.04525,              0.25670,              0.27203
             0.00400,              0.01367,              0.01000,              0.09375,              0.21961,              0.18072
             0.00476,              0.00977,              0.00713,              0.10860,              0.17167,              0.15385
             0.00423,              0.01245,              0.00820,              0.11594,              0.22174,              0.17105
             0.00454,              0.01270,              0.01032,              0.11458,              0.23214,              0.21719
             0.00280,              0.01099,              0.01054,              0.08743,              0.21127,              0.22791
             0.00409,              0.00879,              0.00663,              0.12637,              0.18182,              0.17588
             0.00568,              0.00879,              0.00678,              0.16471,              0.19251,              0.17297
             0.00524,              0.01270,              0.00938,              0.16556,              0.28729,              0.24862
             0.00515,              0.01294,              0.01447,              0.21970,              0.30460,              0.40230
             0.00527,              0.01392,              0.01321,              0.23140,              0.35625,              0.38650
             0.00346,              0.01172,              0.01214,              0.20388,              0.34783,              0.40141
             0.00420,              0.01123,              0.01250,              0.22581,              0.35115,              0.42969
             0.00446,              0.00952,              0.00841,              0.24719,              0.34821,              0.36283
             0.00445,              0.01001,              0.00718,              0.29114,              0.41837,              0.34000
             0.00333,              0.01270,              0.01106,              0.35294,              0.57143,              0.54348
             0.00184,              0.01196,              0.01346,              0.40625,              0.62821,              0.75000
             0.01482,              0.02148,              0.01791,              0.19571,              0.22449,              0.21795
             0.01436,              0.02222,              0.01787,              0.20112,              0.23393,              0.23298
             0.01497,              0.02515,              0.02098,              0.23768,              0.27034,              0.27394
             0.01419,              0.02393,              0.02584,              0.22154,              0.26703,              0.33062
             0.01112,              0.02100,              0.02282,              0.18447,              0.24713,              0.29972
             0.00793,              0.01904,              0.01846,              0.14029,              0.24149,              0.27660
             0.00828,              0.01831,              0.01710,              0.16031,              0.24430,              0.25484
             0.00637,              0.02197,              0.01761,              0.14474,              0.31034,              0.27431
             0.00655,              0.02295,              0.01849,              0.15610,              0.34686,              0.30943
             0.00969,              0.02686,              0.01886,              0.24211,              0.43137,              0.33735
             0.00862,              0.02661,              0.01927,              0.24528,              0.47807,              0.39631
             0.00698,              0.02905,              0.02245,              0.27007,              0.56132,              0.48780
             0.00744,              0.02734,              0.02290,              0.26772,              0.57143,              0.54749
             0.00705,              0.02539,              0.02049,              0.24460,              0.56216,              0.50292
             0.00888,              0.02515,              0.01766,              0.25904,              0.55676,              0.46988
             0.01196,              0.02905,              0.01972,              0.28500,              0.57488,              0.47619
             0.00883,              0.03345,              0.02626,              0.20814,              0.59565,              0.54667
             0.01080,              0.01636,              0.01476,              0.16566,              0.20743,              0.21184
             0.00770,              0.01514,              0.01508,              0.11078,              0.18675,              0.20659
             0.00772,              0.01489,              0.01418,              0.11014,              0.17994,              0.20000
             0.00831,              0.01416,              0.01198,              0.11898,              0.16571,              0.16715
             0.00590,              0.01440,              0.01267,              0.09375,              0.16714,              0.17729
             0.00500,              0.01221,              0.01058,              0.07225,              0.14164,              0.13842
             0.00501,              0.01123,              0.00772,              0.07803,              0.12958,              0.10986
             0.00657,              0.01440,              0.00806,              0.08406,              0.16435,              0.11396
             0.00809,              0.01685,              0.01362,              0.11143,              0.18852,              0.17127
             0.00961,              0.02173,              0.01383,              0.11730,              0.24251,              0.18056
             0.00724,              0.01904,              0.01404,              0.11111,              0.21972,              0.18750
             0.00552,              0.01831,              0.01537,              0.09539,              0.21676,              0.20173
             0.00515,              0.01465,              0.01301,              0.09278,              0.18349,              0.18098
             0.00544,              0.01587,              0.01202,              0.09964,              0.20505,              0.18153
             0.00360,              0.01440,              0.01140,              0.07037,              0.19536,              0.17333
             0.00451,              0.01196,              0.00971,              0.09091,              0.16897,              0.16319
             0.00584,              0.00977,              0.00842,              0.12451,              0.14599,              0.16000
             0.00744,              0.01611,              0.01499,              0.13201,              0.19880,              0.22287
             0.01044,              0.01831,              0.01600,              0.17568,              0.23006,              0.24012
             0.01092,              0.02271,              0.01780,              0.18773,              0.28704,              0.26984
             0.00785,              0.02319,              0.02263,              0.16226,              0.30645,              0.34395
             0.00666,              0.02002,              0.02155,              0.14683,              0.27703,              0.34448
             0.00785,              0.01929,              0.01457,              0.16206,              0.27719,              0.25806
             0.00682,              0.01880,              0.01513,              0.13333,              0.27113,              0.27174
             0.00670,              0.02026,              0.01780,              0.14504,              0.29329,              0.28622
             0.00575,              0.01440,              0.01332,              0.12261,              0.21933,              0.23810
             0.00623,              0.01416,              0.00941,              0.14113,              0.21887,              0.16475
             0.00710,              0.01538,              0.01033,              0.15948,              0.24231,              0.20553
             0.01222,              0.02319,              0.01383,              0.25108,              0.34296,              0.25403
             0.00755,              0.02612,              0.02241,              0.18552,              0.40075,              0.39700
             0.00577,              0.02393,              0.02267,              0.14423,              0.38583,              0.39526
             0.00796,              0.01929,              0.01462,              0.18095,              0.32114,              0.28755
             0.00973,              0.01709,              0.01268,              0.21818,              0.29915,              0.25664
             0.00754,              0.01880,              0.01699,              0.17431,              0.32489,              0.34322
             0.00918,              0.02783,              0.02556,              0.15616,              0.29610,              0.29668
             0.00880,              0.02490,              0.02425,              0.14873,              0.27793,              0.30133
             0.00882,              0.01831,              0.01734,              0.16346,              0.22124,              0.24928
             0.01219,              0.02100,              0.01610,              0.18809,              0.25220,              0.23494
             0.01389,              0.02637,              0.02470,              0.21581,              0.30857,              0.33815
             0.01390,              0.02930,              0.02765,              0.20891,              0.32698,              0.36240
             0.01558,              0.02686,              0.02461,              0.20519,              0.29101,              0.31200
             0.01438,              0.02539,              0.02165,              0.17955,              0.26873,              0.27532
             0.01126,              0.02246,              0.02045,              0.13725,              0.22943,              0.24814
             0.01622,              0.02393,              0.01779,              0.17162,              0.22791,              0.20581
             0.01712,              0.02319,              0.02148,              0.18998,              0.21205,              0.24508
             0.01917,              0.02637,              0.02718,              0.19760,              0.23028,              0.27066
             0.01785,              0.02417,              0.02458,              0.17460,              0.20245,              0.24286
             0.01890,              0.02539,              0.02209,              0.18994,              0.20116,              0.21961
             0.02144,              0.02515,              0.02487,              0.19508,              0.19361,              0.23810
             0.02261,              0.02759,              0.02885,              0.19967,              0.20360,              0.25724
             0.02606,              0.03027,              0.02936,              0.23453,              0.21603,              0.25785
             0.01178,              0.03467,              0.02391,              0.14091,              0.29098,              0.24000
             0.01439,              0.03418,              0.02387,              0.16785,              0.29915,              0.24364
             0.01436,              0.04199,              0.03148,              0.18016,              0.37473,              0.31057
             0.00998,              0.03955,              0.03619,              0.15385,              0.36735,              0.36364
             0.00658,              0.03516,              0.03182,              0.10596,              0.35821,              0.35678
             0.01122,              0.02832,              0.02070,              0.18836,              0.32402,              0.27143
             0.00851,              0.02808,              0.02373,              0.15769,              0.34431,              0.31804
             0.00958,              0.03027,              0.02518,              0.20675,              0.39241,              0.38235
             0.01001,              0.03076,              0.02323,              0.22667,              0.42568,              0.36786
             0.00700,              0.03149,              0.02722,              0.17788,              0.45583,              0.45255
             0.00718,              0.03149,              0.02656,              0.21277,              0.50391,              0.46063
             0.00236,              0.02490,              0.02292,              0.09259,              0.44348,              0.42544
             0.00369,              0.01929,              0.01827,              0.12903,              0.37799,              0.38208
             0.00779,              0.01904,              0.01090,              0.26277,              0.45087,              0.28736
             0.00333,              0.01978,              0.01868,              0.20225,              0.50943,              0.53797
             0.00250,              0.02002,              0.02249,              0.17647,              0.56164,              0.63946
             0.00133,              0.01074,              0.01056,              0.09722,              0.40367,              0.41667
             0.01393,              0.03247,              0.02672,              0.18353,              0.27479,              0.25880
             0.01409,              0.03345,              0.03017,              0.17995,              0.29274,              0.30687
             0.01722,              0.03589,              0.02680,              0.24011,              0.32960,              0.28306
             0.01691,              0.04224,              0.02728,              0.23823,              0.39408,              0.31235
             0.00969,              0.03931,              0.03577,              0.14826,              0.37972,              0.39423
             0.01333,              0.03809,              0.03019,              0.20513,              0.38710,              0.35768
             0.01847,              0.03760,              0.02145,              0.27273,              0.40104,              0.29477
             0.01019,              0.03906,              0.03301,              0.17152,              0.40816,              0.40374
             0.01231,              0.03857,              0.02948,              0.20317,              0.41910,              0.36612
             0.01299,              0.02759,              0.02890,              0.22258,              0.32945,              0.38968
             0.01322,              0.03101,              0.02653,              0.22876,              0.36182,              0.36550
             0.01418,              0.03149,              0.02464,              0.22956,              0.36544,              0.34835
             0.01359,              0.03760,              0.03280,              0.20700,              0.40741,              0.41160
             0.00970,              0.03149,              0.03264,              0.15922,              0.35054,              0.39895
             0.01327,              0.02881,              0.02311,              0.19372,              0.30809,              0.30563
             0.00965,              0.02466,              0.01869,              0.13882,              0.25505,              0.23760
             0.00825,              0.02612,              0.01991,              0.10579,              0.26290,              0.24311
             0.00782,              0.01855,              0.01481,              0.14931,              0.24204,              0.24522
             0.00617,              0.01733,              0.01576,              0.10915,              0.22977,              0.24595
             0.00904,              0.02051,              0.01494,              0.15331,              0.27010,              0.23026
             0.00912,              0.02075,              0.01597,              0.16263,              0.27419,              0.25658
             0.00650,              0.02173,              0.01977,              0.11702,              0.28344,              0.28296
             0.00744,              0.01807,              0.01548,              0.12803,              0.24104,              0.23588
