#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.01235,              0.02926,              0.01743,              0.23742,              0.38521,              0.30044
             0.00997,              0.02405,              0.01484,              0.18911,              0.32016,              0.26189
             0.00648,              0.01510,              0.00973,              0.19877,              0.33164,              0.27900
             0.00833,              0.02002,              0.01317,              0.18155,              0.30276,              0.25961
             0.01185,              0.02724,              0.01601,              0.24767,              0.40597,              0.32063
             0.01332,              0.03487,              0.02281,              0.16650,              0.30182,              0.25506
             0.00859,              0.02049,              0.01170,              0.25049,              0.39975,              0.31282
             0.00736,              0.02200,              0.01444,              0.16724,              0.34804,              0.30032
             0.00536,              0.01595,              0.00993,              0.17962,              0.36781,              0.31182
             0.00630,              0.01596,              0.00947,              0.19901,              0.35823,              0.29531
             0.00452,              0.01271,              0.00816,              0.16362,              0.31032,              0.26177
             0.00947,              0.03016,              0.02000,              0.13838,              0.30059,              0.25606
             0.00975,              0.02913,              0.01880,              0.18116,              0.35944,              0.30376
             0.00751,              0.01898,              0.01214,              0.17087,              0.31580,              0.26632
             0.01354,              0.03417,              0.01914,              0.23078,              0.39498,              0.30576
             0.01018,              0.03526,              0.02413,              0.13754,              0.32470,              0.27985
             0.01117,              0.02972,              0.01847,              0.18663,              0.34813,              0.28330
             0.00820,              0.02082,              0.01257,              0.19259,              0.35133,              0.27757
             0.00586,              0.01410,              0.00897,              0.20629,              0.34925,              0.29465
             0.01385,              0.03108,              0.01787,              0.22368,              0.35864,              0.27611
             0.00861,              0.02355,              0.01462,              0.15285,              0.29091,              0.23058
             0.00688,              0.01694,              0.01017,              0.22314,              0.39273,              0.31291
             0.00878,              0.02115,              0.01289,              0.20265,              0.34036,              0.27812
             0.01583,              0.04055,              0.02459,              0.17038,              0.30138,              0.24041
             0.01186,              0.02835,              0.01681,              0.25280,              0.41995,              0.33916
             0.01321,              0.03318,              0.02156,              0.19490,              0.33893,              0.29160
             0.00885,              0.02236,              0.01422,              0.18584,              0.32475,              0.26456
             0.00886,              0.02277,              0.01465,              0.19177,              0.34813,              0.28093
             0.00604,              0.01443,              0.00919,              0.16545,              0.29063,              0.23629
             0.01257,              0.03300,              0.02095,              0.19871,              0.36246,              0.30111
