#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00859,              0.00879,              0.00314,              0.34211,              0.30769,              0.18280
             0.00965,              0.00830,              0.00388,              0.36429,              0.24460,              0.21930
             0.00834,              0.00854,              0.00392,              0.26582,              0.22152,              0.16084
             0.00667,              0.00781,              0.00511,              0.17576,              0.19277,              0.16875
             0.01009,              0.01074,              0.00578,              0.31667,              0.25287,              0.19412
             0.00990,              0.01001,              0.00626,              0.31737,              0.25309,              0.20482
             0.01124,              0.01172,              0.00543,              0.38272,              0.30380,              0.20690
             0.01097,              0.01025,              0.00508,              0.32749,              0.25455,              0.21333
             0.00908,              0.00781,              0.00487,              0.28342,              0.18182,              0.18343
             0.00923,              0.00854,              0.00611,              0.27895,              0.19022,              0.19780
             0.01131,              0.01025,              0.00624,              0.31841,              0.22222,              0.18478
             0.00845,              0.00830,              0.00516,              0.25000,              0.18182,              0.15385
             0.00878,              0.00854,              0.00366,              0.23980,              0.17949,              0.12500
             0.00673,              0.00464,              0.00399,              0.17500,              0.09453,              0.10753
             0.00363,              0.00220,              0.00366,              0.06965,              0.04412,              0.08458
             0.00489,              0.00317,              0.00329,              0.12676,              0.06103,              0.06965
             0.00575,              0.00317,              0.00393,              0.15695,              0.05936,              0.10185
             0.00409,              0.00171,              0.00414,              0.09346,              0.03271,              0.09677
             0.00575,              0.00415,              0.00400,              0.15166,              0.08095,              0.09005
             0.01453,              0.01270,              0.00703,              0.26740,              0.19923,              0.14228
             0.01442,              0.01147,              0.00745,              0.26071,              0.17407,              0.14672
             0.01160,              0.01050,              0.00653,              0.18149,              0.15468,              0.09195
             0.01782,              0.01758,              0.00828,              0.30128,              0.23607,              0.16312
             0.01752,              0.01343,              0.00952,              0.27692,              0.17799,              0.18874
             0.02073,              0.01904,              0.01011,              0.30532,              0.23077,              0.16667
             0.01909,              0.01831,              0.01020,              0.29380,              0.21246,              0.17059
             0.01848,              0.01929,              0.01126,              0.25269,              0.21067,              0.17889
             0.01885,              0.01978,              0.01066,              0.26076,              0.20769,              0.15550
             0.01495,              0.01367,              0.01090,              0.21703,              0.15301,              0.15659
             0.01600,              0.01538,              0.00959,              0.25284,              0.18000,              0.15743
             0.01899,              0.01807,              0.00976,              0.27378,              0.21326,              0.15692
             0.01442,              0.01392,              0.00996,              0.24058,              0.17221,              0.16519
             0.01506,              0.01367,              0.00786,              0.23867,              0.17666,              0.11709
             0.01075,              0.00879,              0.00853,              0.18893,              0.12203,              0.16774
             0.01133,              0.00806,              0.00743,              0.20946,              0.11786,              0.14626
             0.00800,              0.00732,              0.00718,              0.16605,              0.11494,              0.14029
             0.01030,              0.00903,              0.00672,              0.21032,              0.15289,              0.14062
             0.00610,              0.00366,              0.00536,              0.14912,              0.06944,              0.13537
             0.00581,              0.00757,              0.00351,              0.26891,              0.25203,              0.18699
             0.00763,              0.00806,              0.00240,              0.35772,              0.27731,              0.12500
             0.01098,              0.01147,              0.00329,              0.41727,              0.35338,              0.17949
             0.00796,              0.00586,              0.00517,              0.32847,              0.18605,              0.25984
             0.00894,              0.00806,              0.00519,              0.30405,              0.23239,              0.22059
             0.00776,              0.00391,              0.00718,              0.27922,              0.11511,              0.25828
             0.00878,              0.00439,              0.00644,              0.29814,              0.12500,              0.24837
             0.00897,              0.00635,              0.00764,              0.31325,              0.17105,              0.27329
             0.00626,              0.00513,              0.00551,              0.21951,              0.13725,              0.19497
             0.00550,              0.00586,              0.00448,              0.19753,              0.15686,              0.14815
             0.01276,              0.01489,              0.00372,              0.40506,              0.37888,              0.14685
             0.00892,              0.01221,              0.00364,              0.34559,              0.35211,              0.14729
             0.00947,              0.01245,              0.00395,              0.39394,              0.38060,              0.19328
             0.00579,              0.00879,              0.00259,              0.23967,              0.28571,              0.11607
             0.00592,              0.00806,              0.00161,              0.25581,              0.25581,              0.07080
             0.00448,              0.00708,              0.00196,              0.19200,              0.21970,              0.11017
             0.00447,              0.00464,              0.00070,              0.14394,              0.14394,              0.01667
             0.01012,              0.01074,              0.00152,              0.29630,              0.27500,              0.04651
             0.01203,              0.01294,              0.00379,              0.32105,              0.27604,              0.12987
             0.01967,              0.01880,              0.00658,              0.32333,              0.25926,              0.12879
             0.01990,              0.01978,              0.00927,              0.32997,              0.26384,              0.18216
             0.01797,              0.02124,              0.00923,              0.29110,              0.28065,              0.18638
             0.01143,              0.01147,              0.00696,              0.23214,              0.16608,              0.14760
             0.01313,              0.01050,              0.00645,              0.21352,              0.15248,              0.13258
