# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,         -0.25138,     -22157.74219,          0.32092,          0.95298
                   2,         -0.76941,       -706.30261,          0.31820,          0.96111
                   3,         -1.20681,      -2159.48975,          0.31374,          0.95355
                   4,         -1.39724,      -1235.07654,          0.30548,          0.96126
                   5,         -1.42123,       -340.86877,          0.28542,          0.97358
                   6,         -1.73852,       -261.16318,          0.26477,          0.97402
                   7,         -1.73578,       -373.01746,          0.24550,          0.98056
                   8,         -1.98314,       -127.16199,          0.22627,          0.98446
                   9,         -1.81043,      -1229.92224,          0.20778,          0.97951
                  10,         -1.91048,      -1104.49500,          0.20205,          0.97575
                  11,         -1.93466,       -320.56537,          0.18908,          0.97536
                  12,         -1.93779,       -408.09705,          0.18309,          0.98242
                  13,         -1.80253,       -191.09872,          0.17230,          0.98540
                  14,         -1.99434,        -19.52595,          0.16348,          0.98589
                  15,         -1.95163,       -499.87628,          0.15548,          0.97906
                  16,         -1.90128,       -127.38472,          0.15320,          0.98266
                  17,         -1.88753,       -113.96138,          0.14779,          0.97817
                  18,         -2.11500,      -1025.72437,          0.14988,          0.98560
                  19,         -2.09140,        -49.08094,          0.14492,          0.97988
                  20,         -1.94388,        -55.59786,          0.13975,          0.98394
                  21,         -1.93472,        -21.25282,          0.14071,          0.98588
                  22,         -2.06599,       -237.03378,          0.13028,          0.97843
                  23,         -1.95008,       -402.07269,          0.13663,          0.97597
                  24,         -2.06036,        -48.09792,          0.13854,          0.97617
                  25,         -2.05625,        -33.70152,          0.13246,          0.97832
                  26,         -1.88666,       -142.66589,          0.13538,          0.97925
                  27,         -2.09855,        -47.06364,          0.12656,          0.98429
                  28,         -2.10680,       -100.67958,          0.12913,          0.97129
                  29,         -2.04266,        -33.27720,          0.13092,          0.98129
                  30,         -2.21141,        -63.08382,          0.13056,          0.96795
                  31,         -2.15843,        -31.57514,          0.12845,          0.97401
                  32,         -2.11483,       -240.70381,          0.13121,          0.96465
                  33,         -2.00716,        -25.16595,          0.12517,          0.97489
                  34,         -2.06324,        -42.40630,          0.13005,          0.97060
                  35,         -2.07049,        -40.42741,          0.12455,          0.98121
                  36,         -2.20518,       -125.47308,          0.13111,          0.96600
                  37,         -2.14295,        -46.22811,          0.12957,          0.96318
                  38,         -2.29661,        -62.26058,          0.13241,          0.97495
                  39,         -2.51610,        -31.02418,          0.12015,          0.96991
                  40,         -2.32873,        -55.11020,          0.12512,          0.97047
                  41,         -2.24037,       -179.64769,          0.11732,          0.97712
                  42,         -2.25445,        -76.78287,          0.12893,          0.95943
                  43,         -2.27978,        -44.21250,          0.12149,          0.97549
                  44,         -2.19922,        -25.67303,          0.12278,          0.96630
                  45,         -2.17656,        -24.28389,          0.12491,          0.97176
                  46,         -2.14400,       -165.95718,          0.13245,          0.95696
                  47,         -2.30323,        -57.41967,          0.13246,          0.96527
                  48,         -2.33418,        -60.10474,          0.12710,          0.97135
                  49,         -2.32330,       -131.60793,          0.12301,          0.96659
                  50,         -2.31699,        -81.60617,          0.12570,          0.96549
                  51,         -2.22394,       -128.12083,          0.12164,          0.96643
                  52,         -2.25326,        -29.31304,          0.12478,          0.96234
                  53,         -2.15964,        -28.97584,          0.12785,          0.96181
                  54,         -2.03450,       -185.51268,          0.13248,          0.96514
                  55,         -2.11400,        -29.45764,          0.13136,          0.96480
                  56,         -2.18334,        -44.92244,          0.13021,          0.95936
                  57,         -2.31160,        -84.11483,          0.13182,          0.96193
                  58,         -2.51671,        -35.85117,          0.12823,          0.96074
                  59,         -2.44273,        -23.94613,          0.13037,          0.96275
                  60,         -2.33890,        -44.66590,          0.13100,          0.96226
                  61,         -2.27614,       -102.09932,          0.12701,          0.96405
                  62,         -2.31157,        -51.51535,          0.12646,          0.95674
                  63,         -2.18855,        -40.60928,          0.13605,          0.95872
                  64,         -2.24471,        -44.23480,          0.13056,          0.97123
                  65,         -2.36783,        -57.31065,          0.12445,          0.96627
                  66,         -2.33352,        -39.30793,          0.12572,          0.96447
                  67,         -2.40376,        -24.95917,          0.12151,          0.96262
                  68,         -2.37401,        -28.71858,          0.12977,          0.96333
                  69,         -2.39108,        -31.31471,          0.13455,          0.95411
                  70,         -2.40083,        -95.08533,          0.12723,          0.95871
                  71,         -2.45979,        -36.30175,          0.11631,          0.97100
                  72,         -2.39099,        -49.63258,          0.13112,          0.95832
                  73,         -2.44826,        -43.28575,          0.12712,          0.96974
                  74,         -2.28837,        -37.55239,          0.12420,          0.95868
                  75,         -2.41588,        -45.22797,          0.12414,          0.96610
                  76,         -2.42263,        -39.18335,          0.12632,          0.96155
                  77,         -2.44127,        -58.66844,          0.12874,          0.96326
                  78,         -2.32132,        -50.86676,          0.12884,          0.95899
                  79,         -2.37892,        -47.74672,          0.13606,          0.95315
                  80,         -2.32328,        -31.73707,          0.13717,          0.95471
                  81,         -2.30601,        -43.73848,          0.12813,          0.96445
                  82,         -2.32832,        -37.69185,          0.13656,          0.95313
                  83,         -2.28217,        -43.02988,          0.13293,          0.96138
                  84,         -2.34552,        -22.63248,          0.13598,          0.96062
                  85,         -2.34796,        -50.68577,          0.13301,          0.95652
                  86,         -2.38163,        -52.49460,          0.12986,          0.96449
                  87,         -2.45589,        -32.20235,          0.12800,          0.95910
                  88,         -2.49235,        -30.95352,          0.12792,          0.96224
                  89,         -2.32208,        -46.11483,          0.12633,          0.95880
                  90,         -2.43137,        -55.98338,          0.13115,          0.95601
                  91,         -2.44094,        -29.51108,          0.13400,          0.95524
                  92,         -2.48055,        -25.63663,          0.13023,          0.96008
                  93,         -2.57301,        -28.32324,          0.12541,          0.96295
                  94,         -2.43819,        -38.68852,          0.12589,          0.95830
                  95,         -2.61765,        -25.43980,          0.12371,          0.96587
                  96,         -2.40334,        -29.53716,          0.12849,          0.96240
                  97,         -2.73951,        -24.85222,          0.12805,          0.95672
                  98,         -2.67826,        -25.76606,          0.12867,          0.96650
                  99,         -2.56053,        -23.09136,          0.12531,          0.96017
                 100,         -2.56672,        -24.64005,          0.12902,          0.95973
                 101,         -2.48001,        -33.34836,          0.12864,          0.95456
                 102,         -2.72429,        -53.45259,          0.11928,          0.96061
                 103,         -2.61047,        -43.71024,          0.12984,          0.96113
                 104,         -2.51830,        -33.01691,          0.13078,          0.95826
                 105,         -2.46320,        -29.36607,          0.12575,          0.96350
                 106,         -2.68165,        -48.93708,          0.12419,          0.95942
                 107,         -2.56590,       -113.61810,          0.12598,          0.95939
                 108,         -2.40030,        -46.32350,          0.13011,          0.95706
                 109,         -2.40648,        -20.08958,          0.13481,          0.95906
                 110,         -2.46149,        -26.78519,          0.12698,          0.95650
                 111,         -2.33452,        -23.33038,          0.13760,          0.95429
                 112,         -2.73876,        -28.13222,          0.12732,          0.96039
                 113,         -2.52989,        -24.44751,          0.13339,          0.95807
                 114,         -2.60462,        -23.55310,          0.12936,          0.96292
                 115,         -2.73398,        -26.16137,          0.12941,          0.95860
                 116,         -2.63784,        -23.13546,          0.13107,          0.95946
                 117,         -2.57785,        -22.01559,          0.12982,          0.96247
                 118,         -2.64353,        -49.82647,          0.13238,          0.95703
                 119,         -2.55210,        -21.55069,          0.13140,          0.96241
                 120,         -2.61638,        -43.07677,          0.12213,          0.95551
                 121,         -2.65823,        -26.93092,          0.12495,          0.96124
                 122,         -2.56612,        -28.83321,          0.12870,          0.96186
                 123,         -2.64877,        -18.71657,          0.12779,          0.95478
                 124,         -2.65876,        -24.18325,          0.12750,          0.96018
                 125,         -2.43927,        -29.94472,          0.12870,          0.95787
                 126,         -2.83814,        -31.86230,          0.12704,          0.96856
                 127,         -2.96967,        -26.53919,          0.11958,          0.95996
                 128,         -2.66647,        -23.61544,          0.13039,          0.96147
                 129,         -2.70259,        -26.69835,          0.12743,          0.96027
                 130,         -2.79019,        -22.58670,          0.12882,          0.96293
                 131,         -2.77406,        -28.13647,          0.13270,          0.95582
