# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                   1,         -1.51968,      -6433.56006,          0.28912,          0.92769
                   2,         -2.24044,       -546.16211,          0.32027,          0.93684
                   3,         -2.82639,       -710.16394,          0.31950,          0.93755
                   4,         -3.28484,       -174.87500,          0.31232,          0.93667
                   5,         -3.14126,       -103.25689,          0.29632,          0.94068
                   6,         -3.17079,       -572.67468,          0.27429,          0.95190
                   7,         -3.17041,       -612.66602,          0.25666,          0.94933
                   8,         -3.31692,        -44.44864,          0.24488,          0.96539
                   9,         -3.34158,       -122.67850,          0.23481,          0.97652
                  10,         -3.21254,        -36.71870,          0.22241,          0.98021
                  11,         -3.31360,       -271.43646,          0.21168,          0.98361
                  12,         -3.25291,        -27.88336,          0.20718,          0.98216
                  13,         -3.39479,        -47.97817,          0.19920,          0.98748
                  14,         -3.39488,        -33.24811,          0.18406,          0.98368
                  15,         -3.29945,       -302.90961,          0.18496,          0.98862
                  16,         -3.23811,       -872.68231,          0.16997,          0.98229
                  17,         -3.08330,       -233.68317,          0.17705,          0.98865
                  18,         -3.03284,        -52.40255,          0.16461,          0.98672
                  19,         -3.02425,       -113.84164,          0.15833,          0.98588
                  20,         -3.14794,        -65.11385,          0.15856,          0.98374
                  21,         -3.16280,        -31.71610,          0.15531,          0.98112
                  22,         -3.02077,        -45.34493,          0.14835,          0.99014
                  23,         -3.23078,        -38.42073,          0.14457,          0.98709
                  24,         -3.27338,        -50.97263,          0.14006,          0.98651
                  25,         -3.27698,        -32.58072,          0.13773,          0.98139
                  26,         -3.34914,        -40.22427,          0.13904,          0.98788
                  27,         -3.14509,        -54.03102,          0.14289,          0.96746
                  28,         -3.17113,        -63.52600,          0.13290,          0.98019
                  29,         -3.22765,        -71.86083,          0.13652,          0.97004
                  30,         -3.43276,        -29.58808,          0.13592,          0.97994
                  31,         -3.24418,        -79.47148,          0.13371,          0.96555
                  32,         -3.39326,        -35.98682,          0.13911,          0.97047
                  33,         -3.26561,        -40.37293,          0.13049,          0.97518
                  34,         -3.43557,        -28.82218,          0.13040,          0.97146
                  35,         -3.33702,        -66.44615,          0.12679,          0.96902
                  36,         -3.47346,        -36.87290,          0.12853,          0.95568
                  37,         -3.23731,        -46.35327,          0.13302,          0.96483
                  38,         -3.43074,        -68.22643,          0.13068,          0.96198
                  39,         -3.45426,        -32.86135,          0.13011,          0.95116
                  40,         -3.54626,        -41.39823,          0.12800,          0.96377
                  41,         -3.44504,        -50.16746,          0.12862,          0.95801
                  42,         -3.49734,        -44.51853,          0.12579,          0.95634
                  43,         -3.51836,        -52.91865,          0.12297,          0.96073
                  44,         -3.58883,        -25.34837,          0.12770,          0.96050
                  45,         -3.53583,        -40.31541,          0.13049,          0.95838
                  46,         -3.57027,        -31.74885,          0.12944,          0.96095
                  47,         -3.64125,        -37.90768,          0.12705,          0.95502
                  48,         -3.42709,        -24.87767,          0.12297,          0.95366
                  49,         -3.63297,        -31.89364,          0.12094,          0.96091
                  50,         -3.74311,        -25.32848,          0.12426,          0.96326
                  51,         -3.63816,        -25.59507,          0.12814,          0.95951
                  52,         -3.87784,        -25.33314,          0.12268,          0.96248
                  53,         -3.85269,        -23.96220,          0.12495,          0.95649
                  54,         -3.97309,        -20.54430,          0.12276,          0.94994
                  55,         -3.90861,        -36.44604,          0.11879,          0.96208
                  56,         -3.79873,        -33.10880,          0.11791,          0.96126
                  57,         -3.98955,        -19.97814,          0.11831,          0.95508
                  58,         -3.90696,        -24.17613,          0.11817,          0.96038
                  59,         -3.80127,        -17.93084,          0.12545,          0.95221
                  60,         -3.82376,        -33.46137,          0.11471,          0.95912
                  61,         -3.94626,        -17.91049,          0.11516,          0.96463
                  62,         -3.81821,        -30.96418,          0.12007,          0.95749
                  63,         -3.80057,        -20.35565,          0.12132,          0.95667
                  64,         -4.11455,        -19.17481,          0.11827,          0.96006
                  65,         -3.88741,        -16.13209,          0.11801,          0.96074
                  66,         -4.09631,        -22.62612,          0.10792,          0.96509
                  67,         -3.93443,        -18.92301,          0.11528,          0.96047
                  68,         -4.06208,        -14.50571,          0.11605,          0.96006
                  69,         -4.09731,        -20.86012,          0.11650,          0.95427
                  70,         -3.98868,        -25.30144,          0.11421,          0.95436
                  71,         -3.98049,        -41.75628,          0.11770,          0.95968
                  72,         -3.86079,        -33.65516,          0.11827,          0.96473
