----------------------------------------------------------------------
RUN TRAINING:

E:   1/10000 | B:  40/625 | I:    40 | T:  93.0 | dt: 1.77 || LOSSES: BCE 0.0522 | MSE 0.0147 | JACCARD 0.9836 | 
E:   1/10000 | B:  41/625 | I:    41 | T:  94.7 | dt: 1.77 || LOSSES: BCE 0.0576 | MSE 0.0159 | JACCARD 1.0000 | 
E:   1/10000 | B:  42/625 | I:    42 | T:  96.5 | dt: 1.77 || LOSSES: BCE 0.0544 | MSE 0.0143 | JACCARD 1.0000 | 
E:   1/10000 | B:  43/625 | I:    43 | T:  98.3 | dt: 1.79 || LOSSES: BCE 0.0648 | MSE 0.0176 | JACCARD 1.0000 | 
E:   1/10000 | B:  44/625 | I:    44 | T: 100.1 | dt: 1.77 || LOSSES: BCE 0.0460 | MSE 0.0124 | JACCARD 1.0000 | 
E:   1/10000 | B:  45/625 | I:    45 | T: 101.8 | dt: 1.77 || LOSSES: BCE 0.0583 | MSE 0.0162 | JACCARD 0.9901 | 
E:   1/10000 | B:  46/625 | I:    46 | T: 103.6 | dt: 1.77 || LOSSES: BCE 0.0588 | MSE 0.0162 | JACCARD 0.9868 | 
E:   1/10000 | B:  47/625 | I:    47 | T: 105.3 | dt: 1.76 || LOSSES: BCE 0.0541 | MSE 0.0146 | JACCARD 0.9967 | 
E:   1/10000 | B:  48/625 | I:    48 | T: 107.1 | dt: 1.76 || LOSSES: BCE 0.0588 | MSE 0.0159 | JACCARD 0.9967 | 
E:   1/10000 | B:  49/625 | I:    49 | T: 108.9 | dt: 1.76 || LOSSES: BCE 0.0486 | MSE 0.0133 | JACCARD 0.9967 | 
E:   1/10000 | B:  50/625 | I:    50 | T: 110.6 | dt: 1.76 || LOSSES: BCE 0.0460 | MSE 0.0126 | JACCARD 0.9770 | 
E:   1/10000 | B:  51/625 | I:    51 | T: 112.4 | dt: 1.79 || LOSSES: BCE 0.0526 | MSE 0.0146 | JACCARD 0.9803 | 
E:   1/10000 | B:  52/625 | I:    52 | T: 114.2 | dt: 1.77 || LOSSES: BCE 0.0502 | MSE 0.0135 | JACCARD 1.0000 | 
E:   1/10000 | B:  53/625 | I:    53 | T: 116.0 | dt: 1.76 || LOSSES: BCE 0.0534 | MSE 0.0146 | JACCARD 0.9704 | 
E:   1/10000 | B:  54/625 | I:    54 | T: 117.7 | dt: 1.77 || LOSSES: BCE 0.0516 | MSE 0.0140 | JACCARD 1.0000 | 
E:   1/10000 | B:  55/625 | I:    55 | T: 119.5 | dt: 1.78 || LOSSES: BCE 0.0513 | MSE 0.0140 | JACCARD 1.0000 | 
E:   1/10000 | B:  56/625 | I:    56 | T: 121.3 | dt: 1.77 || LOSSES: BCE 0.0457 | MSE 0.0125 | JACCARD 0.9901 | 
E:   1/10000 | B:  57/625 | I:    57 | T: 123.0 | dt: 1.76 || LOSSES: BCE 0.0464 | MSE 0.0126 | JACCARD 0.9967 | 
E:   1/10000 | B:  58/625 | I:    58 | T: 124.8 | dt: 1.77 || LOSSES: BCE 0.0510 | MSE 0.0137 | JACCARD 0.9342 | 
E:   1/10000 | B:  59/625 | I:    59 | T: 126.6 | dt: 1.77 || LOSSES: BCE 0.0449 | MSE 0.0121 | JACCARD 1.0000 | 
E:   1/10000 | B:  60/625 | I:    60 | T: 128.4 | dt: 1.77 || LOSSES: BCE 0.0443 | MSE 0.0118 | JACCARD 1.0000 | 
E:   1/10000 | B:  61/625 | I:    61 | T: 130.1 | dt: 1.77 || LOSSES: BCE 0.0490 | MSE 0.0130 | JACCARD 0.9934 | 
E:   1/10000 | B:  62/625 | I:    62 | T: 131.9 | dt: 1.77 || LOSSES: BCE 0.0399 | MSE 0.0106 | JACCARD 0.9507 | 
E:   1/10000 | B:  63/625 | I:    63 | T: 133.7 | dt: 1.77 || LOSSES: BCE 0.0456 | MSE 0.0125 | JACCARD 0.9474 | 
E:   1/10000 | B:  64/625 | I:    64 | T: 135.4 | dt: 1.77 || LOSSES: BCE 0.0416 | MSE 0.0111 | JACCARD 0.9770 | 
E:   1/10000 | B:  65/625 | I:    65 | T: 137.2 | dt: 1.76 || LOSSES: BCE 0.0446 | MSE 0.0122 | JACCARD 0.9770 | 
E:   1/10000 | B:  66/625 | I:    66 | T: 139.0 | dt: 1.79 || LOSSES: BCE 0.0488 | MSE 0.0130 | JACCARD 1.0000 | 
E:   1/10000 | B:  67/625 | I:    67 | T: 140.8 | dt: 1.78 || LOSSES: BCE 0.0479 | MSE 0.0128 | JACCARD 1.0000 | 
E:   1/10000 | B:  68/625 | I:    68 | T: 142.6 | dt: 1.77 || LOSSES: BCE 0.0421 | MSE 0.0113 | JACCARD 1.0000 | 
E:   1/10000 | B:  69/625 | I:    69 | T: 144.4 | dt: 1.81 || LOSSES: BCE 0.0395 | MSE 0.0105 | JACCARD 1.0000 | 
E:   1/10000 | B:  70/625 | I:    70 | T: 146.2 | dt: 1.81 || LOSSES: BCE 0.0539 | MSE 0.0149 | JACCARD 0.9770 | 
E:   1/10000 | B:  71/625 | I:    71 | T: 148.0 | dt: 1.78 || LOSSES: BCE 0.0372 | MSE 0.0098 | JACCARD 0.9737 | 
E:   1/10000 | B:  72/625 | I:    72 | T: 149.8 | dt: 1.80 || LOSSES: BCE 0.0402 | MSE 0.0106 | JACCARD 1.0000 | 
E:   1/10000 | B:  73/625 | I:    73 | T: 151.5 | dt: 1.76 || LOSSES: BCE 0.0415 | MSE 0.0111 | JACCARD 1.0000 | 
E:   1/10000 | B:  74/625 | I:    74 | T: 153.3 | dt: 1.82 || LOSSES: BCE 0.0417 | MSE 0.0112 | JACCARD 0.9803 | 
E:   1/10000 | B:  75/625 | I:    75 | T: 155.1 | dt: 1.78 || LOSSES: BCE 0.0480 | MSE 0.0133 | JACCARD 0.9803 | 
E:   1/10000 | B:  76/625 | I:    76 | T: 156.9 | dt: 1.79 || LOSSES: BCE 0.0382 | MSE 0.0101 | JACCARD 1.0000 | 
E:   1/10000 | B:  77/625 | I:    77 | T: 158.7 | dt: 1.77 || LOSSES: BCE 0.0363 | MSE 0.0095 | JACCARD 0.9441 | 
E:   1/10000 | B:  78/625 | I:    78 | T: 160.5 | dt: 1.78 || LOSSES: BCE 0.0406 | MSE 0.0108 | JACCARD 0.9474 | 
E:   1/10000 | B:  79/625 | I:    79 | T: 162.2 | dt: 1.77 || LOSSES: BCE 0.0425 | MSE 0.0117 | JACCARD 1.0000 | 
E:   1/10000 | B:  80/625 | I:    80 | T: 164.0 | dt: 1.78 || LOSSES: BCE 0.0416 | MSE 0.0114 | JACCARD 1.0000 | 
